time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery Inlet Temperature (℃),[BMS] Battery management (),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Battery Pack B01 (℃),[BMS] Battery Pack B02 (℃),[BMS] Battery Pack B03 (℃),[BMS] Battery Pack B04 (℃),[BMS] Battery Pack B05 (℃),[BMS] Battery Power (kW),[BMS] Battery temperature at WCS input (℃),[BMS] Battery temperature PRA (℃),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Coolant temperature 2 (℃),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Evaporator Temperature (℃),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Indoor Temperature (℃),[HVAC] Interior temperature: driver legs vent (℃),[HVAC] Interior temperature: driver vent (℃),[HVAC] Interior temperature: front (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[HVAC] Outside temperature (℃),[HVAC] Real Vehicle Speed (km/h),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Temperature (℃),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[ICCU] LDC Temperature (℃),[PS] Absolute wheels turn angle (°),[PS] MDPS motor current (A),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℃),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℃),[VCMS] DC Inlet Temperature 2 (℃),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (kW),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),[VCS] Vehicle speed (high res.) (km/h),Average speed (km/h),DC Charger Power (kW),Distance travelled (km),Distance travelled (total) (km),EV Instant Energy Consumption (km/kWh),EV Instant Energy Consumption [kWh/100km] (kWh/100km),HV EV Battery Power (kW),Hybrid/EV Charger Power (kW),Vehicle acceleration (g),12V device load (A)
0.0,,,,0.0,,,,20.0,,,,,,,,,17.0,34.0,,,,,,,,17.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,14.0,0.8,733.3,0.0,0.0,0.0,14.0,20.0,22.0,18.0,21.0,20.0,18.0,20.0,20.0,0.58664,17.0,34.0,1035.45111111111,3727624.0,0.0,0.0,5.09236111111111,4.07388888888889,3.81927083333333,17.0,1590.0,1553.1,1188.2,1123.7,0.0,0.0,0.0,0.0,731.0,2658.0,3.82,24.0,3.8,64.0,0.0,1035.45111111111,0.0,57.5,26.0,26.0,5.5,48.0,22.5,22.0,20.0,22.5,29.0,13.5,13.5,0.0,0.769999999999982,93.0,21.0,14.508,736.3,18.23,14.616,23.0,-0.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.43998,,0.0,17.46000000000002
2.0,14.0,0.8,733.3,0.0,0.0,0.0,14.0,20.0,22.0,18.0,21.0,20.0,18.0,20.0,20.0,0.58664,17.0,34.0,1035.45111111111,3727624.0,0.0,0.0,5.09236111111111,4.07388888888889,3.81927083333333,17.0,1590.0,1553.1,1188.2,1123.7,0.0,0.0,0.0,0.0,731.0,2658.0,3.82,24.0,3.8,64.0,0.0,1035.45111111111,0.0,57.5,26.0,26.0,5.5,48.0,22.5,22.0,20.0,22.5,29.0,13.5,13.5,0.0,0.769999999999982,93.0,21.0,14.508,736.3,18.23,14.616,23.0,-0.5,3.0,0.0,0.0,,,,,21.0,1.0,,,0.0,,,,,,,21.0,22.0,,,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,0.0,14.4307299,0.0,,0.0,,,0.0,,0.43998,0.0,0.0,17.46000000000002
3.0,14.0,0.7,733.3,0.0,0.0,0.0,14.0,20.0,22.0,18.0,21.0,20.0,18.0,20.0,20.0,0.51331,17.0,34.0,1035.45166666667,3727626.0,0.0,0.0,5.09236111111111,4.07388888888889,3.81927083333333,17.0,1590.0,1553.1,1188.2,1123.7,0.0,0.0,0.0,0.0,731.0,2658.0,3.82,24.0,3.8,64.0,0.0,1035.45166666667,0.0,57.5,26.0,26.0,5.5,48.0,22.5,22.0,20.0,22.5,29.0,13.5,13.5,0.0,0.769999999999982,93.0,21.0,14.508,736.3,18.23,14.616,23.0,-0.5,3.0,0.0,0.0,0.0,15.0,74.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,21.0,22.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,733.3,4.443,0.0,14.4307299,0.0,,0.0,0.0,0.0,0.0,,0.58664,0.0,0.0,17.46000000000002
4.0,14.0,0.7,733.3,0.0,0.0,0.0,14.0,20.0,22.0,18.0,21.0,20.0,18.0,20.0,20.0,0.51331,17.0,34.0,1035.45166666667,3727626.0,0.0,0.0,5.09236111111111,4.07388888888889,3.81927083333333,17.0,1590.0,1553.1,1188.2,1123.7,0.0,0.0,0.0,0.0,731.0,2658.0,3.82,24.0,3.8,64.0,0.0,1035.45166666667,0.0,57.5,26.0,26.0,5.5,48.0,22.5,22.0,20.0,22.5,29.0,13.5,13.5,0.0,0.860000000000014,93.0,21.0,14.507,736.5,18.01,14.609,23.0,-0.4,3.0,0.0,0.0,0.0,15.0,74.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,21.0,22.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,733.3,4.443,0.0,14.4517268,0.0,,0.0,0.0,0.0,0.0,,0.58664,0.0,0.0,17.149999999999988
5.0,14.0,0.7,733.3,0.0,0.0,0.0,14.0,20.0,22.0,18.0,21.0,20.0,18.0,20.0,20.0,0.51331,17.0,34.0,1035.45222222222,3727628.0,0.0,0.0,5.09236111111111,4.07388888888889,3.81927083333333,17.0,1590.0,1553.1,1188.2,1123.7,0.0,0.0,0.0,0.0,731.0,2658.0,3.82,24.0,3.8,64.0,0.0,1035.45222222222,0.0,57.5,26.0,26.0,5.5,48.0,22.5,22.0,20.0,22.5,29.0,13.5,13.5,0.0,0.860000000000014,93.0,21.0,14.507,736.5,18.01,14.609,23.0,-0.4,3.0,0.0,0.0,0.0,15.0,74.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,21.0,22.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,733.3,4.442,0.0,14.4517268,0.0,,0.0,0.0,0.0,0.0,,0.51331,0.0,0.0,17.149999999999988
6.0,14.0,0.7,733.3,0.0,0.0,0.0,14.0,20.0,22.0,18.0,21.0,20.0,18.0,20.0,20.0,0.51331,17.0,34.0,1035.45222222222,3727628.0,0.0,0.0,5.09236111111111,4.07388888888889,3.81927083333333,17.0,1590.0,1553.1,1188.2,1123.7,0.0,0.0,0.0,0.0,731.0,2658.0,3.82,24.0,3.8,64.0,0.0,1035.45222222222,0.0,57.5,26.0,26.0,5.5,48.0,22.5,22.0,20.0,22.5,29.0,13.5,13.5,0.0,0.569999999999993,93.0,21.0,14.507,736.5,17.64,14.58,23.0,-0.4,3.0,0.0,0.0,0.0,15.0,74.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,21.0,22.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,733.3,4.442,0.0,14.4497736,0.0,0.0,0.0,0.0,0.0,0.0,,0.51331,0.0,0.0,17.070000000000007
7.0,14.0,0.7,733.3,0.0,0.0,0.0,14.0,20.0,22.0,18.0,21.0,20.0,18.0,20.0,20.0,0.51331,17.0,34.0,1035.45277777778,3727630.0,0.0,0.0,5.09236111111111,4.07388888888889,3.81927083333333,17.0,1590.0,1553.1,1188.2,1123.7,0.0,0.0,0.0,0.0,731.0,2631.0,3.82,24.0,3.8,149.0,0.0,1035.45277777778,0.0,57.5,26.0,26.0,5.5,48.0,22.5,22.0,20.0,22.5,29.0,13.5,13.5,0.0,0.569999999999993,93.0,21.0,14.507,736.5,17.64,14.58,23.0,-0.4,3.0,0.0,0.0,0.0,15.0,74.0,0.0,22.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,22.0,22.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,733.3,4.442,0.0,14.4497736,0.0,0.0,0.0,0.0,0.0,0.0,,0.51331,0.0,0.0,17.070000000000007
8.0,14.0,0.7,733.3,0.0,0.0,0.0,14.0,20.0,22.0,18.0,21.0,20.0,18.0,20.0,20.0,0.51331,17.0,34.0,1035.45277777778,3727630.0,0.0,0.0,5.09236111111111,4.07388888888889,3.81927083333333,17.0,1590.0,1553.1,1188.2,1123.7,0.0,0.0,0.0,0.0,731.0,2631.0,3.82,24.0,3.8,149.0,0.0,1035.45277777778,0.0,57.5,26.0,26.0,5.5,48.0,22.5,22.0,20.0,22.5,29.0,13.5,13.5,0.0,0.939999999999998,93.0,21.0,14.505,736.5,18.25,14.593,23.0,-0.4,3.0,0.0,0.0,0.0,15.0,74.0,0.0,22.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,22.0,22.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,733.3,4.442,0.0,14.4507502,0.0,0.0,0.0,0.0,0.0,0.0,,0.51331,0.0,0.0,17.310000000000002
9.0,14.0,0.7,733.2,0.0,0.0,0.0,14.0,20.0,22.0,18.0,21.0,20.0,18.0,20.0,20.0,0.51324,17.0,34.0,1035.45333333333,3727632.0,0.0,0.0,5.09166666666667,4.07333333333333,3.81875,17.0,1590.0,1553.1,1188.2,1123.7,0.0,0.0,0.0,0.0,731.0,2631.0,3.82,24.0,3.8,64.0,0.0,1035.45333333333,0.0,57.5,26.0,26.0,5.5,48.0,22.5,22.0,20.0,22.5,29.0,13.5,13.5,0.0,0.939999999999998,93.0,21.0,14.505,736.5,18.25,14.593,23.0,-0.4,3.0,0.0,0.0,0.0,15.0,74.0,0.0,22.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,22.0,22.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,733.2,4.443,0.0,14.4507502,0.0,0.0,0.0,0.0,0.0,0.0,,0.51324,0.0,0.0,17.310000000000002
10.0,14.0,0.7,733.2,0.0,0.0,0.0,14.0,20.0,22.0,18.0,21.0,20.0,18.0,20.0,20.0,0.51324,17.0,34.0,1035.45333333333,3727632.0,0.0,0.0,5.09166666666667,4.07333333333333,3.81875,17.0,1590.0,1553.1,1188.2,1123.7,0.0,0.0,0.0,0.0,731.0,2631.0,3.82,24.0,3.8,64.0,0.0,1035.45333333333,0.0,57.5,26.0,26.0,5.5,48.0,22.5,22.0,20.0,22.5,29.0,13.5,13.5,0.0,0.730000000000018,93.0,21.0,14.507,736.3,18.93,14.607,23.0,-0.5,3.0,0.0,0.0,0.0,15.0,74.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,733.2,4.443,0.0,14.4307299,0.0,0.0,0.0,0.0,0.0,0.0,,0.51324,0.0,0.0,18.19999999999998
11.0,14.0,0.7,733.3,0.0,0.0,0.0,14.0,20.0,22.0,18.0,21.0,20.0,18.0,20.0,20.0,0.51331,17.0,34.0,1035.45388888889,3727634.0,0.0,0.0,5.09236111111111,4.07388888888889,3.81927083333333,17.0,1590.0,1553.1,1188.2,1123.7,0.0,0.0,0.0,0.0,731.0,2631.0,3.82,24.0,3.8,64.0,0.0,1035.45388888889,0.0,57.5,26.0,26.0,5.5,48.0,22.5,22.0,20.0,22.5,29.0,13.5,13.5,0.0,0.730000000000018,93.0,21.0,14.507,736.3,18.93,14.607,23.0,-0.5,3.0,0.0,0.0,0.0,15.0,74.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,733.3,4.443,0.0,14.4307299,0.0,0.0,0.0,0.0,0.0,0.0,,0.51331,0.0,0.0,18.19999999999998
