time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery management (),[BMS] Battery Pack B01 (℉),[BMS] Battery Pack B02 (℉),[BMS] Battery Pack B03 (℉),[BMS] Battery Pack B04 (℉),[BMS] Battery Pack B05 (℉),[BMS] Battery Power (hp),[BMS] Battery temperature at WCS input (℉),[BMS] Battery temperature PRA (℉),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℉),[HVAC] Evaporator Temperature (℉),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Interior temperature: driver legs vent (℉),[HVAC] Interior temperature: driver vent (℉),[HVAC] Interior temperature: front (℉),[HVAC] Outside temperature (℉),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[PS] Absolute wheels turn angle (°),[PS] MDPS motor current (A),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℉),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℉),[VCMS] DC Inlet Temperature 2 (℉),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (hp),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),Average speed (mph),EV Instant Energy Consumption (km/kWh),EV Instant Energy Consumption [kWh/100km] (mi/kWh),Vehicle acceleration (g),[BMS] Battery Inlet Temperature (℃),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Coolant temperature 2 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Indoor Temperature (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[ICCU] Aux. Battery Temperature (℃),[ICCU] LDC Temperature (℃),[VCS] Vehicle speed (high res.) (km/h),[HVAC] Real Vehicle Speed (km/h),Distance travelled (km),Distance travelled (total) (km),HV EV Battery Power (kW),DC Charger Power (kW),Hybrid/EV Charger Power (kW),12V device load (A)
0.0,,,,0.0,,,20.0,,,,,,,66.2,64.4,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,
1.0,14.2,0.8,733.6,0.0,0.0,0.0,20.0,66.2,64.4,64.4,64.4,64.4,0.797934734763315,66.2,64.4,1008.49083333333,3630567.0,0.0,0.0,5.09444444444444,4.07555555555556,3.82083333333333,1567.0,1529.7,1171.7,1107.2,0.0,0.0,0.0,0.0,733.0,2531.0,3.82,24.0,3.8,149.0,0.0,1008.49083333333,0.0,58.5,68.0,71.6,20.0,75.2,77.9,86.0,66.2,18.73,87.0,14.707,737.5,37.28,14.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,19.0,19.0,18.000000000000004,19.0,20.0,30.0,24.0,19.0,19.499999999999996,23.000000000000004,,0.0,,,0.5950296306959844,,,18.55
2.0,14.2,0.8,733.6,0.0,0.0,0.0,20.0,66.2,64.4,64.4,64.4,64.4,0.797934734763315,66.2,64.4,1008.49083333333,3630567.0,0.0,0.0,5.09444444444444,4.07555555555556,3.82083333333333,1567.0,1529.7,1171.7,1107.2,0.0,0.0,0.0,0.0,733.0,2531.0,3.82,24.0,3.8,149.0,0.0,1008.49083333333,0.0,58.5,68.0,71.6,20.0,75.2,77.9,86.0,66.2,18.73,87.0,14.707,737.5,37.28,14.922,-0.1,3.0,0.0,0.0,,,,,75.2,1.0,,,0.0,,,,,,,75.2,75.2,,,,,,,,,,,,,,,,,,0.0,14.6607192,,0.0,0.0,0.0,19.0,19.0,18.000000000000004,19.0,20.0,30.0,24.0,19.0,19.499999999999996,23.000000000000004,0.0,0.0,,,0.5950296306959844,,,18.55
3.0,14.2,0.7,733.6,0.0,0.0,0.0,20.0,66.2,64.4,64.4,64.4,64.4,0.698192892917901,66.2,64.4,1008.49166666667,3630570.0,0.0,0.0,5.09444444444444,4.07555555555556,3.82083333333333,1567.0,1529.7,1171.7,1107.2,0.0,0.0,0.0,0.0,733.0,2531.0,3.82,24.0,3.8,64.0,0.0,1008.49166666667,0.0,58.5,68.0,71.6,20.0,75.2,77.9,86.0,66.2,18.73,87.0,14.707,737.5,37.28,14.922,-0.1,3.0,0.0,0.0,0.0,14.0,63.0,0.0,75.2,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,75.2,75.2,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,733.6,4.441,0.0,14.6607192,,0.0,0.0,0.0,19.0,19.0,18.000000000000004,19.0,20.0,30.0,24.0,19.0,19.499999999999996,23.000000000000004,0.0,0.0,,,0.5206509268589866,0.0,0.0,18.55
4.0,14.2,0.7,733.6,0.0,0.0,0.0,20.0,66.2,64.4,64.4,64.4,64.4,0.698192892917901,66.2,64.4,1008.49166666667,3630570.0,0.0,0.0,5.09444444444444,4.07555555555556,3.82083333333333,1567.0,1529.7,1171.7,1107.2,0.0,0.0,0.0,0.0,733.0,2531.0,3.82,24.0,3.8,64.0,0.0,1008.49166666667,0.0,58.5,68.0,71.6,20.0,75.2,77.9,86.0,66.2,18.3,87.0,14.709,737.5,36.42,14.917,-0.1,3.0,0.0,0.0,0.0,14.0,63.0,0.0,75.2,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,75.2,75.2,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,733.6,4.441,0.0,14.6607192,,0.0,0.0,0.0,19.0,19.0,18.000000000000004,19.0,20.0,30.0,24.0,19.0,19.499999999999996,23.000000000000004,0.0,0.0,0.0,0.0,0.5206509268589866,0.0,0.0,18.12
5.0,14.2,0.7,733.6,0.0,0.0,0.0,20.0,66.2,64.4,64.4,64.4,64.4,0.698192892917901,66.2,64.4,1008.49166666667,3630570.0,0.0,0.0,5.09444444444444,4.07555555555556,3.82083333333333,1567.0,1529.7,1171.7,1107.2,0.0,0.0,0.0,0.0,733.0,2531.0,3.82,24.0,3.8,64.0,0.0,1008.49166666667,0.0,58.5,68.0,71.6,20.0,75.2,77.9,86.0,66.2,18.3,87.0,14.709,737.5,36.42,14.917,-0.1,3.0,0.0,0.0,0.0,14.0,63.0,0.0,75.2,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,75.2,75.2,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,733.6,4.441,0.0,14.6607192,,0.0,0.0,0.0,19.0,19.0,18.000000000000004,19.0,20.0,30.0,24.0,19.0,19.499999999999996,23.000000000000004,0.0,0.0,0.0,0.0,0.5206509268589866,0.0,0.0,18.12
6.0,14.2,0.7,733.6,0.0,0.0,0.0,20.0,66.2,64.4,64.4,64.4,64.4,0.698192892917901,66.2,64.4,1008.49222222222,3630572.0,0.0,0.0,5.09444444444444,4.07555555555556,3.82083333333333,1567.0,1529.7,1171.7,1107.2,0.0,0.0,0.0,0.0,733.0,2531.0,3.82,24.0,3.8,64.0,0.0,1008.49222222222,0.0,58.5,68.0,71.6,20.0,75.2,77.9,86.0,66.2,18.3,87.0,14.709,737.5,36.42,14.917,-0.1,3.0,0.0,0.0,0.0,14.0,63.0,0.0,75.2,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,75.2,75.2,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,733.6,4.441,0.0,14.6607192,0.0,0.0,0.0,0.0,19.0,19.0,18.000000000000004,19.0,20.0,30.0,24.0,19.0,19.499999999999996,23.000000000000004,0.0,0.0,0.0,0.0,0.5206509268589866,0.0,0.0,18.12
7.0,14.2,0.7,733.6,0.0,0.0,0.0,20.0,66.2,64.4,64.4,64.4,64.4,0.698192892917901,66.2,64.4,1008.49222222222,3630572.0,0.0,0.0,5.09444444444444,4.07555555555556,3.82083333333333,1567.0,1529.7,1171.7,1107.2,0.0,0.0,0.0,0.0,733.0,2531.0,3.82,24.0,3.8,64.0,0.0,1008.49222222222,0.0,58.5,68.0,71.6,20.0,75.2,77.9,86.0,66.2,17.75,87.0,14.712,737.5,35.85,14.92,-0.2,3.0,0.0,0.0,0.0,14.0,63.0,0.0,75.2,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,75.2,75.2,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,733.6,4.441,0.0,14.6607192,0.0,0.0,0.0,0.0,19.0,19.0,18.000000000000004,19.0,20.0,30.0,24.0,19.0,19.499999999999996,21.999999999999996,0.0,0.0,0.0,0.0,0.5206509268589866,0.0,0.0,18.1
8.0,14.2,0.8,733.6,0.0,0.0,0.0,20.0,66.2,64.4,64.4,64.4,64.4,0.797934734763315,66.2,64.4,1008.49305555556,3630575.0,0.0,0.0,5.09444444444444,4.07555555555556,3.82083333333333,1567.0,1529.7,1171.7,1107.2,0.0,0.0,0.0,0.0,733.0,2531.0,3.82,24.0,3.8,149.0,0.0,1008.49305555556,0.0,58.5,68.0,71.6,20.0,75.2,77.9,86.0,66.2,17.75,87.0,14.712,737.5,35.85,14.92,-0.2,3.0,0.0,0.0,0.0,14.0,63.0,0.0,75.2,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,75.2,75.2,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,733.6,4.442,0.0,14.6607192,0.0,0.0,0.0,0.0,19.0,19.0,18.000000000000004,19.0,20.0,30.0,24.0,19.0,19.499999999999996,21.999999999999996,0.0,0.0,0.0,0.0,0.5206509268589866,0.0,0.0,18.1
9.0,14.2,0.8,733.6,0.0,0.0,0.0,20.0,66.2,64.4,64.4,64.4,64.4,0.797934734763315,66.2,64.4,1008.49305555556,3630575.0,0.0,0.0,5.09444444444444,4.07555555555556,3.82083333333333,1567.0,1529.7,1171.7,1107.2,0.0,0.0,0.0,0.0,733.0,2531.0,3.82,24.0,3.8,149.0,0.0,1008.49305555556,0.0,58.5,68.0,71.6,20.0,76.1,77.0,86.0,66.2,17.42,87.0,14.714,737.4,35.13,14.92,-0.2,3.0,0.0,0.0,0.0,14.0,63.0,0.0,75.2,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,75.2,75.2,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,733.6,4.442,0.0,14.6626724,0.0,0.0,0.0,0.0,19.0,19.0,18.000000000000004,19.0,20.0,30.0,24.0,19.0,19.499999999999996,21.999999999999996,0.0,0.0,0.0,0.0,0.5206509268589866,0.0,0.0,17.71
