time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery Inlet Temperature (℃),[BMS] Battery management (),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Battery Pack B01 (℃),[BMS] Battery Pack B02 (℃),[BMS] Battery Pack B03 (℃),[BMS] Battery Pack B04 (℃),[BMS] Battery Pack B05 (℃),[BMS] Battery Power (kW),[BMS] Battery temperature at WCS input (℃),[BMS] Battery temperature PRA (℃),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Coolant temperature 2 (℃),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Evaporator Temperature (℃),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Indoor Temperature (℃),[HVAC] Interior temperature: driver legs vent (℃),[HVAC] Interior temperature: driver vent (℃),[HVAC] Interior temperature: front (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[HVAC] Outside temperature (℃),[HVAC] Real Vehicle Speed (km/h),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Temperature (℃),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[ICCU] LDC Temperature (℃),[PS] Absolute wheels turn angle (°),[PS] MDPS motor current (A),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℃),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℃),[VCMS] DC Inlet Temperature 2 (℃),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (kW),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),[VCS] Vehicle speed (high res.) (km/h),Average speed (km/h),DC Charger Power (kW),Distance travelled (km),Distance travelled (total) (km),EV Instant Energy Consumption (km/kWh),EV Instant Energy Consumption [kWh/100km] (kWh/100km),HV EV Battery Power (kW),Hybrid/EV Charger Power (kW),Vehicle acceleration (g),12V device load (A)
0.0,,,,0.0,,,,20.0,,,,,,,,,18.0,26.0,,,,,,,,18.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,13.3,1.0,715.0,0.0,0.0,0.0,17.0,20.0,19.0,18.0,19.0,18.0,18.0,18.0,18.0,0.715,18.0,26.0,1019.37833333333,3669762.0,0.0,0.0,4.96527777777778,3.97222222222222,3.72395833333333,18.0,1572.6,1544.4,1175.6,1117.6,0.0,0.0,0.0,0.0,714.0,3000.0,3.72,9.0,3.72,40.0,0.0,1019.37833333333,0.0,50.5,19.5,19.5,20.0,54.0,23.5,21.5,23.0,23.5,23.0,16.0,16.0,0.0,18.61,85.0,20.0,13.76,719.3,60.12,14.035,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.715,,0.0,41.51
2.0,13.3,1.0,715.0,0.0,0.0,0.0,17.0,20.0,19.0,18.0,19.0,18.0,18.0,18.0,18.0,0.715,18.0,26.0,1019.37833333333,3669762.0,0.0,0.0,4.96527777777778,3.97222222222222,3.72395833333333,18.0,1572.6,1544.4,1175.6,1117.6,0.0,0.0,0.0,0.0,714.0,3000.0,3.72,9.0,3.72,40.0,0.0,1019.37833333333,0.0,50.5,19.5,19.5,20.0,54.0,23.5,21.5,23.0,23.5,23.0,16.0,16.0,0.0,18.61,85.0,20.0,13.76,719.3,60.12,14.035,25.0,-9.9,3.0,0.0,0.0,,,,,20.0,1.0,,,0.0,,,,,,,20.0,20.0,,,,,,,,,,,,,,,,,,0.0,13.7417386,0.0,,,,,0.0,,0.715,,0.0,41.51
3.0,13.3,1.1,715.0,0.0,0.0,0.0,17.0,20.0,19.0,18.0,19.0,18.0,18.0,18.0,18.0,0.7865,18.0,26.0,1019.37916666667,3669765.0,0.0,0.0,4.96527777777778,3.97222222222222,3.72395833333333,18.0,1572.6,1544.4,1175.6,1117.6,0.0,34.0,0.0,0.0,714.0,3000.0,3.72,9.0,3.72,77.0,0.0,1019.37916666667,0.0,50.5,19.5,19.5,20.0,54.0,23.5,21.5,23.0,23.5,23.0,16.0,16.0,0.0,18.61,85.0,20.0,13.76,719.3,60.12,14.035,25.0,-9.9,3.0,0.0,0.0,0.0,14.0,63.0,0.0,20.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,20.0,20.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,715.1,4.443,0.0,13.7417386,0.0,,0.0,,,0.0,,0.715,0.0,0.0,41.51
4.0,13.3,1.1,715.0,0.0,0.0,0.0,17.0,20.0,19.0,18.0,19.0,18.0,18.0,18.0,18.0,0.7865,18.0,26.0,1019.37916666667,3669765.0,0.0,0.0,4.96527777777778,3.97222222222222,3.72395833333333,18.0,1572.6,1544.4,1175.6,1117.6,0.0,34.0,0.0,0.0,714.0,3000.0,3.72,9.0,3.72,77.0,0.0,1019.37916666667,0.0,50.5,19.5,19.5,20.0,54.0,23.5,21.5,22.5,23.5,23.0,16.0,16.0,0.0,18.01,85.0,20.0,13.786,718.6,46.06,14.063,25.0,-9.4,3.0,0.0,0.0,0.0,14.0,63.0,0.0,20.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,20.0,20.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,715.1,4.443,0.0,13.760294,0.390625,,0.0,0.0,0.0,0.0,,0.715,0.0,0.0,28.05
5.0,13.3,1.1,715.0,0.0,0.0,0.0,17.0,20.0,19.0,18.0,19.0,18.0,18.0,18.0,18.0,0.7865,18.0,26.0,1019.37916666667,3669765.0,0.0,0.0,4.96527777777778,3.97222222222222,3.72395833333333,18.0,1572.6,1544.4,1175.6,1117.6,0.0,34.0,0.0,0.0,714.0,3000.0,3.72,9.0,3.72,77.0,0.0,1019.37916666667,0.0,50.5,19.5,19.5,20.0,54.0,23.5,21.5,22.5,23.5,23.0,16.0,16.0,0.0,18.01,85.0,20.0,13.786,718.6,46.06,14.063,25.0,-9.4,3.0,0.0,0.0,0.0,14.0,63.0,0.0,20.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,20.0,20.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,715.1,4.443,0.0,13.760294,0.390625,,0.0,0.0,0.0,0.0,,0.715,0.0,0.0,28.05
6.0,13.3,1.1,715.0,0.0,0.0,0.0,17.0,20.0,19.0,18.0,19.0,18.0,18.0,18.0,18.0,0.7865,18.0,26.0,1019.37972222222,3669767.0,0.0,0.0,4.96527777777778,3.97222222222222,3.72395833333333,18.0,1572.6,1544.4,1175.6,1117.6,0.0,0.0,0.0,0.0,714.0,2536.0,3.72,9.0,3.72,41.0,0.0,1019.37972222222,0.0,50.5,19.5,19.5,20.0,54.0,23.0,21.0,22.5,23.0,23.0,16.0,16.0,0.0,18.01,85.0,20.0,13.786,718.6,46.06,14.063,25.0,-9.4,3.0,0.0,0.0,0.0,14.0,63.0,0.0,20.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,20.0,20.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,715.1,4.442,0.0,13.760294,0.390625,0.0,0.0,0.0,0.0,0.0,,0.7865,0.0,0.0,28.05
7.0,13.3,1.1,715.0,0.0,0.0,0.0,17.0,20.0,19.0,18.0,19.0,18.0,18.0,18.0,18.0,0.7865,18.0,26.0,1019.37972222222,3669767.0,0.0,0.0,4.96527777777778,3.97222222222222,3.72395833333333,18.0,1572.6,1544.4,1175.6,1117.6,0.0,0.0,0.0,0.0,714.0,2536.0,3.72,9.0,3.72,41.0,0.0,1019.37972222222,0.0,50.5,19.5,19.5,20.0,54.0,23.0,21.0,22.5,23.0,23.0,16.0,16.0,0.0,17.53,85.0,20.0,13.819,719.3,40.9,14.055,25.0,32.0,3.0,0.0,0.0,0.0,14.0,63.0,0.0,20.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,20.0,20.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,715.1,4.442,24.0719575,13.799358,0.0625,0.0,0.0,0.0,0.0,0.0,,0.7865,0.0,0.0,23.369999999999997
8.0,13.4,1.0,715.1,0.0,0.0,0.0,17.0,20.0,19.0,18.0,19.0,18.0,18.0,18.0,18.0,0.7151,18.0,26.0,1019.38055555556,3669770.0,0.0,0.0,4.96597222222222,3.97277777777778,3.72447916666667,18.0,1572.6,1544.4,1175.6,1117.6,0.0,58.0,0.0,0.0,714.0,2536.0,3.72,9.0,3.72,77.0,0.0,1019.38055555556,0.0,50.5,19.5,19.5,20.0,54.0,23.0,21.0,22.5,23.0,23.0,16.0,16.0,0.0,17.53,85.0,20.0,13.819,719.3,40.9,14.055,25.0,32.0,3.0,0.0,0.0,0.0,14.0,63.0,0.0,20.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,20.0,20.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,715.1,4.442,24.0719575,13.799358,0.0625,0.0,0.0,0.0,0.0,0.0,,0.78661,0.0,0.0,23.369999999999997
9.0,13.4,1.0,715.1,0.0,0.0,0.0,17.0,20.0,19.0,18.0,19.0,18.0,18.0,18.0,18.0,0.7151,18.0,26.0,1019.38055555556,3669770.0,0.0,0.0,4.96597222222222,3.97277777777778,3.72447916666667,18.0,1572.6,1544.4,1175.6,1117.6,0.0,58.0,0.0,0.0,714.0,2536.0,3.72,9.0,3.72,77.0,0.0,1019.38055555556,0.0,50.5,19.5,19.5,20.0,54.0,23.0,21.0,22.5,23.0,23.0,16.0,16.0,0.0,16.46,85.0,20.0,13.803,719.0,44.08,14.062,25.0,2.1,3.0,0.0,0.0,0.0,14.0,63.0,0.0,20.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,20.0,20.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,715.1,4.442,0.0,13.7705483,0.84375,0.0,0.0,0.0,0.0,0.0,,0.78661,0.0,0.0,27.619999999999997
