time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery Inlet Temperature (℃),[BMS] Battery management (),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Battery Pack B01 (℃),[BMS] Battery Pack B02 (℃),[BMS] Battery Pack B03 (℃),[BMS] Battery Pack B04 (℃),[BMS] Battery Pack B05 (℃),[BMS] Battery Power (kW),[BMS] Battery temperature at WCS input (℃),[BMS] Battery temperature PRA (℃),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Coolant temperature 2 (℃),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Evaporator Temperature (℃),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Indoor Temperature (℃),[HVAC] Interior temperature: driver legs vent (℃),[HVAC] Interior temperature: driver vent (℃),[HVAC] Interior temperature: front (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[HVAC] Outside temperature (℃),[HVAC] Real Vehicle Speed (km/h),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Temperature (℃),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[ICCU] LDC Temperature (℃),[PS] Absolute wheels turn angle (°),[PS] MDPS motor current (A),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℃),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℃),[VCMS] DC Inlet Temperature 2 (℃),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (kW),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),[VCS] Vehicle speed (high res.) (km/h),Average speed (km/h),DC Charger Power (kW),Distance travelled (km),Distance travelled (total) (km),EV Instant Energy Consumption (km/kWh),HV EV Battery Power (kW),Hybrid/EV Charger Power (kW),Vehicle acceleration (g),12V device load (A)
0.0,,,,0.0,,,,20.0,,,,,,,,,20.0,18.0,,,,,,,,20.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,13.3,0.7,737.0,0.0,0.0,0.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,20.0,0.5159,20.0,18.0,1167.691111111111,4203688.0,0.0,0.0,5.11805555555556,4.09444444444444,3.83854166666667,20.0,1736.8,1696.5,1296.6,1226.8,0.0,0.0,0.0,0.0,736.0,2968.0,3.84,24.0,3.82,64.0,0.0,1167.69111111111,0.0,60.5,21.0,21.0,19.5,56.0,21.0,20.5,20.5,21.0,24.0,20.5,20.5,0.0,17.19999999999999,88.0,20.0,13.771,740.9000000000001,40.19,14.01,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,22.99000000000001
2.0,13.3,0.7,737.0,0.0,0.0,0.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,20.0,0.5159,20.0,18.0,1167.691111111111,4203688.0,0.0,0.0,5.11805555555556,4.09444444444444,3.83854166666667,20.0,1736.8,1696.5,1296.6,1226.8,0.0,0.0,0.0,0.0,736.0,2968.0,3.84,24.0,3.82,64.0,0.0,1167.69111111111,0.0,60.5,21.0,21.0,19.5,56.0,21.0,20.5,20.5,21.0,24.0,20.5,20.5,0.0,17.19999999999999,88.0,20.0,13.771,740.9000000000001,40.19,14.01,22.0,-1.9,3.0,0.0,0.0,,,,,21.0,1.0,,,0.0,,,,,,,21.0,21.0,,,,,,,,,,,,,,,,,,0.0,13.7314843,0.0,,,,,0.0,0.0,,,22.99000000000001
3.0,13.3,0.7,737.0,0.0,0.0,0.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,20.0,0.5159,20.0,18.0,1167.6919444444443,4203691.0,0.0,0.0,5.11805555555556,4.09444444444444,3.83854166666667,20.0,1736.8,1696.5,1296.6,1226.8,0.0,0.0,0.0,0.0,736.0,2968.0,3.84,12.0,3.82,64.0,0.0,1167.69194444444,0.0,60.5,21.0,21.0,19.5,56.0,21.0,20.5,20.5,21.0,24.0,20.5,20.5,0.0,17.19999999999999,88.0,20.0,13.771,740.9000000000001,40.19,14.01,22.0,-1.9,3.0,0.0,0.0,0.0,18.0,140.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,737.0,4.443,0.0,13.7314843,0.0,,0.0,,,0.0,0.5159,0.0,,22.99000000000001
4.0,13.3,0.7,737.0,0.0,0.0,0.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,20.0,0.5159,20.0,18.0,1167.6919444444443,4203691.0,0.0,0.0,5.11805555555556,4.09444444444444,3.83854166666667,20.0,1736.8,1696.5,1296.6,1226.8,0.0,0.0,0.0,0.0,736.0,2968.0,3.84,12.0,3.82,64.0,0.0,1167.69194444444,0.0,60.5,21.0,21.0,19.5,56.0,21.0,20.5,20.5,21.0,24.0,20.5,20.5,0.0,16.319999999999993,88.0,20.0,13.777,740.9000000000001,38.67,14.004,22.0,-1.8,3.0,0.0,0.0,0.0,18.0,140.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,737.0,4.443,0.0,13.7314843,0.0,,0.0,0.0,0.0,0.0,0.5159,0.0,,22.35000000000001
5.0,13.3,0.7,737.0,0.0,0.0,0.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,20.0,0.5159,20.0,18.0,1167.6919444444443,4203691.0,0.0,0.0,5.11805555555556,4.09444444444444,3.83854166666667,20.0,1736.8,1696.5,1296.6,1226.8,0.0,0.0,0.0,0.0,736.0,2968.0,3.84,12.0,3.82,64.0,0.0,1167.69194444444,0.0,60.5,21.0,21.0,19.5,56.0,21.0,20.5,20.5,21.0,24.0,20.5,20.5,0.0,16.319999999999993,88.0,20.0,13.777,740.9000000000001,38.67,14.004,22.0,-1.8,3.0,0.0,0.0,0.0,18.0,140.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,737.0,4.442,0.0,13.7695717,0.0,,0.0,0.0,0.0,0.0,0.5159,0.0,,22.35000000000001
6.0,13.3,0.7,737.0,0.0,0.0,0.0,21.0,20.0,20.0,20.0,20.0,20.0,19.0,19.0,19.0,0.5159,20.0,18.0,1167.6927777777778,4203694.0,0.0,0.0,5.11805555555556,4.09444444444444,3.83854166666667,20.0,1736.8,1696.5,1296.6,1226.8,0.0,0.0,0.0,0.0,736.0,2968.0,3.84,24.0,3.82,64.0,0.0,1167.69277777778,0.0,60.5,21.0,21.0,19.5,56.0,21.5,20.5,20.5,21.5,23.0,20.5,20.5,0.0,16.319999999999993,88.0,20.0,13.777,740.9000000000001,38.67,14.004,22.0,-1.8,3.0,0.0,0.0,0.0,18.0,140.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,737.0,4.442,0.0,13.7695717,0.0,0.0,0.0,0.0,0.0,0.0,0.5159,0.0,,22.35000000000001
7.0,13.3,0.7,737.0,0.0,0.0,0.0,21.0,20.0,20.0,20.0,20.0,20.0,19.0,19.0,19.0,0.5159,20.0,18.0,1167.6927777777778,4203694.0,0.0,0.0,5.11805555555556,4.09444444444444,3.83854166666667,20.0,1736.8,1696.5,1296.6,1226.8,0.0,0.0,0.0,0.0,736.0,2968.0,3.84,24.0,3.82,64.0,0.0,1167.69277777778,0.0,60.5,21.0,21.0,19.5,56.0,21.5,20.5,20.5,21.5,23.0,20.5,20.5,0.0,15.689999999999998,88.0,20.0,13.8,740.9000000000001,37.78,14.014,22.0,-1.8,3.0,0.0,0.0,0.0,18.0,140.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,737.0,4.442,0.0,13.7612706,0.0,0.0,0.0,0.0,0.0,0.0,0.5159,0.0,,22.090000000000003
8.0,13.3,0.7,737.0,0.0,0.0,0.0,21.0,20.0,20.0,20.0,20.0,20.0,19.0,19.0,19.0,0.5159,20.0,18.0,1167.6933333333334,4203696.0,0.0,0.0,5.11805555555556,4.09444444444444,3.83854166666667,20.0,1736.8,1696.5,1296.6,1226.8,0.0,0.0,0.0,0.0,736.0,2510.0,3.84,22.0,3.82,64.0,0.0,1167.69333333333,0.0,60.5,21.0,21.0,19.5,56.0,21.5,20.5,20.5,21.5,23.0,20.5,20.5,0.0,15.689999999999998,88.0,20.0,13.8,740.9000000000001,37.78,14.014,22.0,-1.8,3.0,0.0,0.0,0.0,18.0,140.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,737.0,4.442,0.0,13.7612706,0.0,0.0,0.0,0.0,0.0,0.0,0.5159,0.0,,22.090000000000003
9.0,13.3,0.7,737.0,0.0,0.0,0.0,21.0,20.0,20.0,20.0,20.0,20.0,19.0,19.0,19.0,0.5159,20.0,18.0,1167.6933333333334,4203696.0,0.0,0.0,5.11805555555556,4.09444444444444,3.83854166666667,20.0,1736.8,1696.5,1296.6,1226.8,0.0,0.0,0.0,0.0,736.0,2510.0,3.84,22.0,3.82,64.0,0.0,1167.69333333333,0.0,60.5,21.0,21.0,19.5,56.0,21.5,20.5,20.5,21.5,24.0,20.5,20.5,0.0,15.019999999999982,88.0,20.0,13.804,740.9000000000001,37.34,14.028,22.0,-1.7000000000000002,3.0,0.0,0.0,0.0,18.0,140.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,737.0,4.442,0.0,13.7612706,0.0,0.0,0.0,0.0,0.0,0.0,0.5159,0.0,,22.32000000000002
