time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery Inlet Temperature (℃),[BMS] Battery management (),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Battery Pack B01 (℃),[BMS] Battery Pack B02 (℃),[BMS] Battery Pack B03 (℃),[BMS] Battery Pack B04 (℃),[BMS] Battery Pack B05 (℃),[BMS] Battery Power (kW),[BMS] Battery temperature at WCS input (℃),[BMS] Battery temperature PRA (℃),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Coolant temperature 2 (℃),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Evaporator Temperature (℃),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Indoor Temperature (℃),[HVAC] Interior temperature: driver legs vent (℃),[HVAC] Interior temperature: driver vent (℃),[HVAC] Interior temperature: front (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[HVAC] Outside temperature (℃),[HVAC] Real Vehicle Speed (km/h),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Temperature (℃),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[ICCU] LDC Temperature (℃),[PS] Absolute wheels turn angle (°),[PS] MDPS motor current (A),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℃),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℃),[VCMS] DC Inlet Temperature 2 (℃),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (kW),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),[VCS] Vehicle speed (high res.) (km/h),Average speed (km/h),DC Charger Power (kW),Distance travelled (km),Distance travelled (Today) (km),Distance travelled (total) (km),Distance travelled (Week) (km),Energy costs ($),Energy used (kWh),EV Instant Energy Consumption (distance/kWh) (km/kWh),EV Instant Energy Consumption (kWh) (kWh),EV Instant Energy Consumption (kWh/distance) (kWh/100km),HV EV Battery Power (kW),Hybrid/EV Charger Power (kW),Vehicle acceleration (g),12V device load (A)
0.0,,,,0.0,,,,20.0,,,,,,,,,25.0,34.0,,,,,,,,25.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,13.3,1.8,785.7,0.0,0.0,0.0,25.0,20.0,25.0,24.0,25.0,24.0,23.0,23.0,23.0,1.41426,25.0,34.0,1199.075833333333,4316673.0,0.0,0.0,5.45625,4.365,4.0921875,25.0,1781.0,1703.6,1330.2,1231.8,0.0,0.0,0.0,0.0,785.0,3000.0,4.08,2.0,4.08,1.0,0.0,1199.07583333333,0.0,89.0,36.0,36.0,20.5,52.0,28.5,26.5,23.5,28.5,40.0,24.0,24.0,0.0,15.569999999999991,96.0,26.5,13.809,788.7,40.78,14.031,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,25.210000000000008
2.0,13.3,1.8,785.7,0.0,0.0,0.0,25.0,20.0,25.0,24.0,25.0,24.0,23.0,23.0,23.0,1.41426,25.0,34.0,1199.075833333333,4316673.0,0.0,0.0,5.45625,4.365,4.0921875,25.0,1781.0,1703.6,1330.2,1231.8,0.0,0.0,0.0,0.0,785.0,3000.0,4.08,2.0,4.08,1.0,0.0,1199.07583333333,0.0,89.0,36.0,36.0,20.5,52.0,28.5,26.5,23.5,28.5,40.0,24.0,24.0,0.0,15.569999999999991,96.0,26.5,13.809,788.7,40.78,14.031,30.0,-0.4,3.0,0.0,0.0,,,,,28.0,1.0,,,0.0,,,,,,,28.0,28.0,,,,,,,,,,,,,,,,,,0.0,13.760294,0.0,,,,,,,,,,,,0.0,,,25.210000000000008
3.0,13.3,1.8,785.8,0.0,0.0,0.0,25.0,20.0,25.0,24.0,25.0,25.0,24.0,23.0,24.0,1.41444,25.0,34.0,1199.076388888889,4316675.0,0.0,0.0,5.45694444444444,4.36555555555556,4.09270833333333,25.0,1781.0,1703.6,1330.2,1231.8,0.0,0.0,0.0,0.0,785.0,2585.0,4.08,6.0,4.08,13.0,0.0,1199.07638888889,0.0,89.0,36.0,36.0,20.5,52.0,28.5,26.5,23.5,28.5,40.0,24.0,24.0,0.0,15.569999999999991,96.0,26.5,13.809,788.7,40.78,14.031,30.0,-0.4,3.0,0.0,0.0,0.0,21.0,157.0,0.0,28.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,28.0,28.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,785.8000000000001,4.442,0.0,13.760294,0.0,,0.0,,,,,0.0010606212970206,0.00105012009606,,0.00105012009606,,1.41444,0.0,,25.210000000000008
4.0,13.3,1.8,785.8,0.0,0.0,0.0,25.0,20.0,25.0,24.0,25.0,25.0,24.0,23.0,24.0,1.41444,25.0,34.0,1199.076388888889,4316675.0,0.0,0.0,5.45694444444444,4.36555555555556,4.09270833333333,25.0,1781.0,1703.6,1330.2,1231.8,0.0,0.0,0.0,0.0,785.0,2585.0,4.08,6.0,4.08,13.0,0.0,1199.07638888889,0.0,89.0,36.5,36.5,19.5,52.0,28.5,26.5,22.5,28.5,39.0,24.0,24.0,0.0,14.240000000000007,96.0,26.5,13.798,788.5,40.78,14.043,29.0,-0.4,3.0,0.0,0.0,0.0,21.0,157.0,0.0,28.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,28.0,28.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,785.8000000000001,4.442,0.0,13.760294,0.0,0.0,0.0,0.0,5.152514,5.152514,5.152514,0.0010606212970206,0.00105012009606,,0.00105012009606,,1.41444,0.0,,26.539999999999992
5.0,13.3,1.8,785.8,0.0,0.0,0.0,25.0,20.0,25.0,24.0,25.0,25.0,24.0,23.0,24.0,1.41444,25.0,34.0,1199.076388888889,4316675.0,0.0,0.0,5.45694444444444,4.36555555555556,4.09270833333333,25.0,1781.0,1703.6,1330.2,1231.8,0.0,0.0,0.0,0.0,785.0,2585.0,4.08,6.0,4.08,13.0,0.0,1199.07638888889,0.0,89.0,36.5,36.5,19.5,52.0,28.5,26.5,22.5,28.5,39.0,24.0,24.0,0.0,14.240000000000007,96.0,26.5,13.798,788.5,40.78,14.043,29.0,-0.4,3.0,0.0,0.0,0.0,21.0,157.0,0.0,28.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,28.0,28.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,785.8000000000001,4.442,0.0,13.7695717,0.0,0.0,0.0,0.0,5.152514,5.152514,5.152514,0.0010606212970206,0.00105012009606,,0.00105012009606,,1.41444,0.0,,26.539999999999992
6.0,13.3,1.8,785.7,0.0,0.0,0.0,25.0,20.0,25.0,24.0,25.0,24.0,23.0,23.0,23.0,1.41426,25.0,34.0,1199.0772222222222,4316678.0,0.0,0.0,5.45625,4.365,4.0921875,25.0,1781.0,1703.6,1330.2,1231.8,0.0,0.0,0.0,0.0,785.0,2585.0,4.08,6.0,4.08,1.0,0.0,1199.07722222222,0.0,89.0,37.0,37.0,18.5,52.0,28.5,26.5,21.5,28.5,40.0,24.0,24.0,0.0,14.240000000000007,96.0,26.5,13.798,788.5,40.78,14.043,29.0,-0.4,3.0,0.0,0.0,0.0,21.0,157.0,0.0,28.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,28.0,28.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,785.7,4.443,0.0,13.7695717,0.0,0.0,0.0,0.0,5.152514,5.152514,5.152514,0.0021067802267104,0.002085921016545,0.0,0.001035800920485,,1.4142600000000003,0.0,,26.539999999999992
7.0,13.3,1.8,785.7,0.0,0.0,0.0,25.0,20.0,25.0,24.0,25.0,24.0,23.0,23.0,23.0,1.41426,25.0,34.0,1199.0772222222222,4316678.0,0.0,0.0,5.45625,4.365,4.0921875,25.0,1781.0,1703.6,1330.2,1231.8,0.0,0.0,0.0,0.0,785.0,2585.0,4.08,6.0,4.08,1.0,0.0,1199.07722222222,0.0,89.0,37.0,37.0,18.5,52.0,28.5,26.5,21.5,28.5,40.0,24.0,24.0,0.0,13.300000000000011,96.0,26.5,13.805,788.8000000000001,39.44,14.031,29.0,-0.4,3.0,0.0,0.0,0.0,21.0,157.0,0.0,28.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,28.0,28.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,785.7,4.443,0.0,13.770548300000002,0.0,0.0,0.0,0.0,5.152514,5.152514,5.152514,0.0021067802267104,0.002085921016545,0.0,0.001035800920485,,1.4142600000000003,0.0,,26.139999999999986
8.0,13.3,1.8,785.7,0.0,0.0,0.0,25.0,20.0,25.0,24.0,25.0,24.0,23.0,23.0,23.0,1.41426,25.0,34.0,1199.0777777777778,4316680.0,0.0,0.0,5.45625,4.365,4.0921875,25.0,1781.0,1703.6,1330.2,1231.8,0.0,0.0,0.0,0.0,785.0,2585.0,4.08,8.0,4.08,109.0,0.0,1199.07777777778,0.0,89.0,37.0,37.0,18.5,52.0,28.5,26.5,21.5,28.5,40.0,24.0,24.0,0.0,13.300000000000011,96.0,26.5,13.805,788.8000000000001,39.44,14.031,29.0,-0.4,3.0,0.0,0.0,0.0,21.0,157.0,0.0,28.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,28.0,28.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,785.7,4.444,0.0,13.770548300000002,0.0,0.0,0.0,0.0,5.152514,5.152514,5.152514,0.003058109690068,0.003027831376305,0.0,0.00094191035976,,1.4142600000000003,0.0,,26.139999999999986
9.0,13.3,1.8,785.7,0.0,0.0,0.0,25.0,20.0,25.0,24.0,25.0,24.0,23.0,23.0,23.0,1.41426,25.0,34.0,1199.0777777777778,4316680.0,0.0,0.0,5.45625,4.365,4.0921875,25.0,1781.0,1703.6,1330.2,1231.8,0.0,0.0,0.0,0.0,785.0,2585.0,4.08,8.0,4.08,109.0,0.0,1199.07777777778,0.0,89.0,38.0,38.0,17.5,52.0,28.0,26.5,20.5,28.0,41.0,24.0,24.0,0.0,12.519999999999982,96.0,26.5,13.811,788.8000000000001,38.71,14.033,29.0,-0.4,3.0,0.0,0.0,0.0,21.0,157.0,0.0,28.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,28.0,28.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,785.7,4.444,0.0,13.770548300000002,0.0,0.0,0.0,0.0,5.152514,5.152514,5.152514,0.003058109690068,0.003027831376305,0.0,0.00094191035976,,1.4142600000000003,0.0,,26.19000000000002
