time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery Inlet Temperature (℃),[BMS] Battery management (),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Battery Pack B01 (℃),[BMS] Battery Pack B02 (℃),[BMS] Battery Pack B03 (℃),[BMS] Battery Pack B04 (℃),[BMS] Battery Pack B05 (℃),[BMS] Battery Power (kW),[BMS] Battery temperature at WCS input (℃),[BMS] Battery temperature PRA (℃),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Coolant temperature 2 (℃),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Evaporator Temperature (℃),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Indoor Temperature (℃),[HVAC] Interior temperature: driver legs vent (℃),[HVAC] Interior temperature: driver vent (℃),[HVAC] Interior temperature: front (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[HVAC] Outside temperature (℃),[HVAC] Real Vehicle Speed (km/h),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Temperature (℃),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[ICCU] LDC Temperature (℃),[PS] Absolute wheels turn angle (°),[PS] MDPS motor current (A),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℃),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℃),[VCMS] DC Inlet Temperature 2 (℃),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (kW),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),[VCS] Vehicle speed (high res.) (km/h),Average speed (km/h),DC Charger Power (kW),Distance travelled (km),Distance travelled (total) (km),EV Instant Energy Consumption (km/kWh),HV EV Battery Power (kW),Hybrid/EV Charger Power (kW),Vehicle acceleration (g),12V device load (A)
10.0,13.4,1.7,741.8,0.0,0.0,0.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,1.26106,19.0,24.0,1161.1891666666668,4180281.0,0.0,0.0,5.15138888888889,4.12111111111111,3.86354166666667,19.0,1735.3,1692.8,1295.5,1224.0,0.0,0.0,0.0,0.0,741.0,2730.0,3.86,24.0,3.86,181.0,0.0,1161.18916666667,0.0,62.5,30.0,30.0,13.5,55.0,22.0,19.5,16.5,22.0,33.0,20.0,20.0,0.0,12.600000000000025,88.0,19.5,13.814,745.6,38.66,14.032,22.0,-1.5,3.0,0.0,0.0,0.0,18.0,140.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,741.9000000000001,4.444,0.0,13.7915452,0.0,0.0,0.0,0.0,0.0,0.0,1.18688,0.0,,26.059999999999974
11.0,13.4,1.7,741.8,0.0,0.0,0.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,1.26106,19.0,24.0,1161.1891666666668,4180281.0,0.0,0.0,5.15138888888889,4.12111111111111,3.86354166666667,19.0,1735.3,1692.8,1295.5,1224.0,0.0,0.0,0.0,0.0,741.0,2730.0,3.86,24.0,3.86,181.0,0.0,1161.18916666667,0.0,62.5,29.5,29.5,12.5,55.0,22.0,19.5,15.5,22.0,33.0,20.0,20.0,0.0,11.930000000000009,88.0,19.5,13.819,745.6,38.5,14.029,22.0,-1.5,3.0,0.0,0.0,0.0,18.0,140.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,741.9000000000001,4.444,0.0,13.7915452,0.0,0.0,0.0,0.0,0.0,0.0,1.18688,0.0,0.0,26.569999999999993
12.0,13.4,1.7,741.8,0.0,0.0,0.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,1.26106,19.0,24.0,1161.1891666666668,4180281.0,0.0,0.0,5.15138888888889,4.12111111111111,3.86354166666667,19.0,1735.3,1692.8,1295.5,1224.0,0.0,0.0,0.0,0.0,741.0,2730.0,3.86,24.0,3.86,181.0,0.0,1161.18916666667,0.0,62.5,29.5,29.5,12.5,55.0,22.0,19.5,15.5,22.0,33.0,20.0,20.0,0.0,11.930000000000009,88.0,19.5,13.819,745.6,38.5,14.029,22.0,-1.5,3.0,0.0,0.0,,,,,21.0,1.0,,,0.0,,,,,,,21.0,21.0,,,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,0.0,13.7803143,0.0,0.0,0.0,0.0,0.0,0.0,1.18688,0.0,0.0,26.569999999999993
13.0,13.4,1.7,741.8,0.0,0.0,0.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,1.26106,19.0,24.0,1161.1891666666668,4180281.0,0.0,0.0,5.15138888888889,4.12111111111111,3.86354166666667,19.0,1735.3,1692.8,1295.5,1224.0,0.0,0.0,0.0,0.0,741.0,2730.0,3.86,24.0,3.86,181.0,0.0,1161.18916666667,0.0,62.5,29.5,29.5,12.5,55.0,22.0,19.5,15.5,22.0,33.0,20.0,20.0,0.0,11.930000000000009,88.0,19.5,13.819,745.6,38.5,14.029,22.0,-1.5,3.0,0.0,0.0,,,,,21.0,1.0,,,0.0,,,,,,,21.0,21.0,,,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,0.0,13.7803143,0.0,0.0,0.0,0.0,0.0,0.0,1.18688,0.0,0.0,26.569999999999993
14.0,13.4,1.7,741.8,0.0,0.0,0.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,1.26106,19.0,24.0,1161.1891666666668,4180281.0,0.0,0.0,5.15138888888889,4.12111111111111,3.86354166666667,19.0,1735.3,1692.8,1295.5,1224.0,0.0,0.0,0.0,0.0,741.0,2730.0,3.86,24.0,3.86,181.0,0.0,1161.18916666667,0.0,62.5,29.5,29.5,12.5,55.0,22.0,19.5,15.5,22.0,33.0,20.0,20.0,0.0,11.930000000000009,88.0,19.5,13.819,745.6,38.5,14.029,22.0,-1.5,3.0,0.0,0.0,,,,,21.0,1.0,,,0.0,,,,,,,21.0,21.0,,,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,0.0,13.7803143,0.0,0.0,0.0,0.0,0.0,0.0,1.18688,0.0,0.0,26.569999999999993
15.0,13.4,1.7,741.8,0.0,0.0,0.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,1.26106,19.0,24.0,1161.1891666666668,4180281.0,0.0,0.0,5.15138888888889,4.12111111111111,3.86354166666667,19.0,1735.3,1692.8,1295.5,1224.0,0.0,0.0,0.0,0.0,741.0,2730.0,3.86,24.0,3.86,181.0,0.0,1161.18916666667,0.0,62.5,29.5,29.5,12.5,55.0,22.0,19.5,15.5,22.0,33.0,20.0,20.0,0.0,11.930000000000009,88.0,19.5,13.819,745.6,38.5,14.029,22.0,-1.5,3.0,0.0,0.0,,,,,21.0,1.0,,,0.0,,,,,,,21.0,21.0,,,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,0.0,13.7803143,0.0,0.0,0.0,0.0,0.0,0.0,1.18688,0.0,0.0,26.569999999999993
16.0,13.4,1.4,741.8,0.0,0.0,0.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,1.03852,19.0,24.0,1161.1905555555556,4180286.0,0.0,0.0,5.15138888888889,4.12111111111111,3.86354166666667,19.0,1735.3,1692.8,1295.5,1224.0,0.0,0.0,0.0,0.0,741.0,2730.0,3.86,24.0,3.86,2.0,0.0,1161.19055555556,0.0,62.5,29.0,29.0,10.5,55.0,21.5,19.5,14.0,21.5,31.0,20.0,20.0,0.0,10.800000000000011,88.0,19.5,13.827,745.6,36.81,14.033,22.0,-1.5,3.0,0.0,0.0,,,,,21.0,1.0,,,0.0,,,,,,,21.0,21.0,,,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,0.0,13.7803143,0.0,0.0,0.0,0.0,0.0,0.0,1.03852,0.0,0.0,26.00999999999999
17.0,13.4,1.4,741.8,0.0,0.0,0.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,1.03852,19.0,24.0,1161.1905555555556,4180286.0,0.0,0.0,5.15138888888889,4.12111111111111,3.86354166666667,19.0,1735.3,1692.8,1295.5,1224.0,0.0,0.0,0.0,0.0,741.0,2730.0,3.86,24.0,3.86,2.0,0.0,1161.19055555556,0.0,62.5,29.0,29.0,10.5,55.0,21.5,19.5,14.0,21.5,31.0,20.0,20.0,0.0,10.800000000000011,88.0,19.5,13.827,745.6,36.81,14.033,22.0,-1.5,3.0,0.0,0.0,,,,,21.0,1.0,,,0.0,,,,,,,21.0,21.0,,,,,,,,,,,,,,,,,,0.0,13.781290900000002,0.0,0.0,,0.0,0.0,0.0,1.03852,,0.0,26.00999999999999
18.0,13.4,1.3,741.9,0.0,0.0,0.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,0.96447,19.0,24.0,1161.191388888889,4180289.0,0.0,0.0,5.15208333333333,4.12166666666667,3.8640625,19.0,1735.3,1692.8,1295.5,1224.0,0.0,0.0,0.0,0.0,741.0,2663.0,3.86,24.0,3.86,61.0,0.0,1161.19138888889,0.0,62.5,29.5,29.5,10.5,55.0,21.5,19.5,14.0,21.5,31.0,20.0,20.0,0.0,10.800000000000011,88.0,19.5,13.827,745.6,36.81,14.033,22.0,-1.5,3.0,0.0,0.0,,,,,21.0,1.0,,,0.0,,,,,,,21.0,21.0,,,,,,,,,,,,,,,,,,0.0,13.781290900000002,0.0,0.0,,0.0,0.0,0.0,0.96447,,0.0,26.00999999999999
19.0,13.4,1.3,741.9,0.0,0.0,0.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,0.96447,19.0,24.0,1161.191388888889,4180289.0,0.0,0.0,5.15208333333333,4.12166666666667,3.8640625,19.0,1735.3,1692.8,1295.5,1224.0,0.0,0.0,0.0,0.0,741.0,2663.0,3.86,24.0,3.86,61.0,0.0,1161.19138888889,0.0,62.5,29.5,29.5,10.0,55.0,21.5,19.5,13.5,21.5,31.0,20.0,20.0,0.0,10.180000000000009,88.0,19.5,13.831,745.6,36.34,14.033,22.0,-1.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.781290900000002,0.0,0.0,,0.0,0.0,0.0,0.96447,,0.0,26.159999999999997
