time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery Inlet Temperature (℃),[BMS] Battery management (),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Battery Pack B01 (℃),[BMS] Battery Pack B02 (℃),[BMS] Battery Pack B03 (℃),[BMS] Battery Pack B04 (℃),[BMS] Battery Pack B05 (℃),[BMS] Battery Power (kW),[BMS] Battery temperature at WCS input (℃),[BMS] Battery temperature PRA (℃),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Coolant temperature 2 (℃),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Evaporator Temperature (℃),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Indoor Temperature (℃),[HVAC] Interior temperature: driver legs vent (℃),[HVAC] Interior temperature: driver vent (℃),[HVAC] Interior temperature: front (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[HVAC] Outside temperature (℃),[HVAC] Real Vehicle Speed (km/h),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Temperature (℃),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[ICCU] LDC Temperature (℃),[ICCU] OBC AC Current A (RMS) (A),[ICCU] OBC AC Current B (RMS) (A),[ICCU] OBC AC Frequency (Hz),[ICCU] OBC AC Input Current Sensor A Signal Voltage (V),[ICCU] OBC AC Input Current Sensor B Signal Voltage (V),[ICCU] OBC AC Total Current (RMS) (A),[ICCU] OBC AC Voltage A (RMS) (V),[ICCU] OBC AC Voltage B (RMS) (V),[ICCU] OBC DC Current A (RMS) (A),[ICCU] OBC DC Current B (RMS) (A),[ICCU] OBC DC Current Total (RMS) (A),[ICCU] OBC DC Voltage (V),[ICCU] OBC Temperature A (℃),[ICCU] OBC Temperature B (℃),[PS] Absolute wheels turn angle (°),[PS] MDPS motor current (A),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℃),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℃),[VCMS] DC Inlet Temperature 2 (℃),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (kW),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),[VCS] Vehicle speed (high res.) (km/h),Average speed (km/h),DC Charger Power (kW),Distance travelled (km),Distance travelled (total) (km),EV Instant Energy Consumption (km/kWh),EV Instant Energy Consumption [kWh/100km] (kWh/100km),HV EV Battery Power (kW),Hybrid/EV Charger Power (kW),Vehicle acceleration (g),12V device load (A)
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.6,4.434,,,,,0.0,,,,,,0.0,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,76.0,25.0,23.5,23.5,25.0,,22.5,22.5,0.0,,,,,,,,,,,,,,,,,,,,,,,-4.2,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.6,4.434,0.0,13.8105889,0.0,,0.0,,,,,,0.0,,
2.0,13.4,1.8,740.6,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.33308,24.0,22.0,8826.52138888889,31775477.0,0.0,0.0,5.14305555555556,4.11444444444444,3.85729166666667,24.0,13832.1,13637.6,10132.6,9807.0,1780.0,0.0,0.0,0.0,741.0,1650.0,3.86,14.0,3.84,169.0,0.0,8826.52138888889,0.0,66.5,,,21.0,76.0,25.0,23.5,23.5,25.0,,22.5,22.5,0.0,10.36,89.0,25.0,13.796,743.6,33.01,13.99,28.0,,,,,,,,,,,,,,,-4.2,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.6,4.434,0.0,13.8105889,0.0,,0.0,,,,,1.33308,0.0,,22.65
3.0,13.4,1.8,740.6,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.33308,24.0,22.0,8826.52138888889,31775477.0,0.0,0.0,5.14305555555556,4.11444444444444,3.85729166666667,24.0,13832.1,13637.6,10132.6,9807.0,1780.0,0.0,0.0,0.0,741.0,1650.0,3.86,14.0,3.84,169.0,0.0,8826.52138888889,0.0,66.5,,,21.0,76.0,25.0,23.5,23.5,25.0,,22.5,22.5,0.0,10.36,89.0,25.0,13.796,743.6,33.01,13.99,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.3,25.0,25.0,-4.2,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.6,4.434,0.0,13.8105889,0.0,,0.0,,,,,1.33308,0.0,,22.65
4.0,13.4,1.9,740.6,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.40714,24.0,22.0,8826.52194444444,31775479.0,0.0,0.0,5.14305555555556,4.11444444444444,3.85729166666667,24.0,13832.1,13637.6,10132.6,9807.0,1780.0,0.0,0.0,0.0,741.0,1650.0,3.86,15.0,3.84,80.0,0.0,8826.52194444444,0.0,66.5,,,21.0,76.0,25.0,23.5,23.5,25.0,,22.5,22.5,0.0,10.36,89.0,25.0,13.796,743.6,33.01,13.99,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.3,25.0,25.0,-4.3,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.6,4.434,0.0,13.8105889,0.0,,0.0,,,,,1.33308,0.0,,22.65
5.0,13.4,1.9,740.6,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.40714,24.0,22.0,8826.52194444444,31775479.0,0.0,0.0,5.14305555555556,4.11444444444444,3.85729166666667,24.0,13832.1,13637.6,10132.6,9807.0,1780.0,0.0,0.0,0.0,741.0,1650.0,3.86,15.0,3.84,80.0,0.0,8826.52194444444,0.0,66.5,,,21.0,76.0,25.0,23.5,23.5,25.0,,22.5,22.5,0.0,10.36,89.0,25.0,13.796,743.6,33.01,13.99,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.3,25.0,25.0,-4.3,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.6,4.433,0.0,13.8105889,0.0,,0.0,,,,,1.33308,0.0,,22.65
6.0,13.4,1.9,740.6,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.40714,24.0,22.0,8826.52194444444,31775479.0,0.0,0.0,5.14305555555556,4.11444444444444,3.85729166666667,24.0,13832.1,13637.6,10132.6,9807.0,1780.0,0.0,0.0,0.0,741.0,1650.0,3.86,15.0,3.84,80.0,0.0,8826.52194444444,0.0,66.5,37.0,37.0,15.0,76.0,25.0,23.5,22.0,25.0,40.0,22.5,22.5,0.0,10.36,89.0,25.0,13.796,743.6,33.01,13.99,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.3,25.0,25.0,-4.4,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.6,4.433,0.0,13.8105889,0.0,,0.0,0.0,0.0,0.0,,1.33308,0.0,,22.65
7.0,13.4,1.9,740.6,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.40714,24.0,22.0,8826.52277777778,31775482.0,0.0,0.0,5.14305555555556,4.11444444444444,3.85729166666667,24.0,13832.1,13637.6,10132.6,9807.0,1780.0,0.0,0.0,0.0,741.0,1650.0,3.86,15.0,3.84,169.0,0.0,8826.52277777778,0.0,66.5,37.0,37.0,15.0,76.0,25.0,23.5,22.0,25.0,40.0,22.5,22.5,0.0,10.36,89.0,25.0,13.796,743.6,33.01,13.99,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.3,25.0,25.0,-4.4,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.6,4.433,0.0,13.8105889,0.0,,0.0,0.0,0.0,0.0,,1.40714,0.0,,22.65
8.0,13.4,1.9,740.6,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.40714,24.0,22.0,8826.52305555556,31775483.0,0.0,0.0,5.14305555555556,4.11444444444444,3.85729166666667,24.0,13832.1,13637.6,10132.6,9807.0,1780.0,0.0,0.0,0.0,741.0,1721.0,3.86,15.0,3.84,80.0,0.0,8826.52305555556,0.0,66.5,37.0,37.0,15.0,76.0,25.0,23.5,22.0,25.0,40.0,22.5,22.5,0.0,10.36,89.0,25.0,13.796,743.6,33.01,13.99,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.3,25.0,25.0,-4.3,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.6,4.433,0.0,13.8105889,0.0,,0.0,0.0,0.0,0.0,,1.40714,0.0,,22.65
9.0,13.4,1.9,740.6,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.40714,24.0,22.0,8826.52305555556,31775483.0,0.0,0.0,5.14305555555556,4.11444444444444,3.85729166666667,24.0,13832.1,13637.6,10132.6,9807.0,1780.0,0.0,0.0,0.0,741.0,1721.0,3.86,15.0,3.84,80.0,0.0,8826.52305555556,0.0,66.5,37.0,37.0,15.0,76.0,25.0,23.5,22.0,25.0,40.0,22.5,22.5,0.0,9.95999999999998,89.0,25.0,13.807,743.1,32.61,13.979,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.6,25.0,25.0,-4.3,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.6,4.437,0.0,13.8105889,0.0,,0.0,0.0,0.0,0.0,,1.40714,0.0,,22.65000000000002
