time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery management (),[BMS] Battery Pack B01 (℉),[BMS] Battery Pack B02 (℉),[BMS] Battery Pack B03 (℉),[BMS] Battery Pack B04 (℉),[BMS] Battery Pack B05 (℉),[BMS] Battery Power (kW),[BMS] Battery temperature at WCS input (℉),[BMS] Battery temperature PRA (℉),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℉),[HVAC] Evaporator Temperature (℉),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Interior temperature: driver legs vent (℉),[HVAC] Interior temperature: driver vent (℉),[HVAC] Interior temperature: front (℉),[HVAC] Outside temperature (℉),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[ICCU] OBC AC Current A (RMS) (A),[ICCU] OBC AC Current B (RMS) (A),[ICCU] OBC AC Frequency (Hz),[ICCU] OBC AC Input Current Sensor A Signal Voltage (V),[ICCU] OBC AC Input Current Sensor B Signal Voltage (V),[ICCU] OBC AC Total Current (RMS) (A),[ICCU] OBC AC Voltage A (RMS) (V),[ICCU] OBC AC Voltage B (RMS) (V),[ICCU] OBC DC Current A (RMS) (A),[ICCU] OBC DC Current B (RMS) (A),[ICCU] OBC DC Current Total (RMS) (A),[ICCU] OBC DC Voltage (V),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℉),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℉),[VCMS] DC Inlet Temperature 2 (℉),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (kW),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),Average speed (mph),DC Charger Power (kW),Distance travelled (Today) (miles),Distance travelled (total) (miles),Distance travelled (Week) (miles),Energy costs ($),Energy used (kWh),EV Instant Energy Consumption (distance/kWh) (km/kWh),EV Instant Energy Consumption (kWh) (kWh),HV EV Battery Power (kW),Hybrid/EV Charger Power (kW),Vehicle acceleration (g),[BMS] Battery Inlet Temperature (℃),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Coolant temperature 2 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Indoor Temperature (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[ICCU] Aux. Battery Temperature (℃),[ICCU] LDC Temperature (℃),[ICCU] OBC Temperature A (℃),[ICCU] OBC Temperature B (℃),[VCS] Vehicle speed (high res.) (km/h),[HVAC] Real Vehicle Speed (km/h),Distance travelled (km),12V device load (A)
0.0,,,,0.0,,,23.0,,,,,,,42.8,53.6,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.999999999999998,,,,,,,,,,,,
1.0,12.7,0.0,724.9,0.0,0.0,0.0,23.0,44.6,48.2,46.4,48.2,46.4,0.0,42.8,53.6,11275.914166666667,40593291.0,0.0,0.0,5.03402777777778,4.02722222222222,3.77552083333333,24981.6,24728.8,18413.9,17834.5,0.0,0.0,0.0,0.0,725.0,3000.0,3.76,13.0,3.76,17.0,0.0,11275.9141666667,0.0,60.0,116.6,41.9,52.0,97.7,100.4,71.6,37.4,-20.230000000000015,99.0,13.184,723.3000000000001,5.55,13.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,2.999999999999999,10.0,7.000000000000001,5.999999999999998,47.0,21.999999999999996,16.0,2.999999999999999,12.5,10.999999999999998,,,,0.0,,25.780000000000015
2.0,12.7,0.0,724.9,0.0,0.0,0.0,23.0,44.6,48.2,46.4,48.2,46.4,0.0,42.8,53.6,11275.914166666667,40593291.0,0.0,0.0,5.03402777777778,4.02722222222222,3.77552083333333,24981.6,24728.8,18413.9,17834.5,0.0,0.0,0.0,0.0,725.0,3000.0,3.76,13.0,3.76,17.0,0.0,11275.9141666667,0.0,60.0,116.6,41.9,52.0,97.7,100.4,71.6,37.4,-20.230000000000015,99.0,13.184,723.3000000000001,5.55,13.274,,,,,,,,,,,,,0.0,0.0,,,,,53.6,1.0,,,0.0,,,,,,,51.8,53.6,,,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,0.0,13.3203357,,0.0,,,,,,,,0.0,0.0,0.0,2.999999999999999,10.0,7.000000000000001,5.999999999999998,47.0,21.999999999999996,16.0,2.999999999999999,12.5,10.999999999999998,,,0.0,0.0,,25.780000000000015
3.0,13.2,-11.3,727.1,0.0,0.0,0.0,23.0,44.6,48.2,46.4,48.2,46.4,-8.21623,42.8,53.6,11275.915,40593294.0,0.0,0.0,5.04930555555556,4.03944444444444,3.78697916666667,24981.6,24728.8,18413.9,17834.5,0.0,0.0,0.0,0.0,727.0,3000.0,3.78,13.0,3.78,17.0,0.0,11275.915,0.0,60.0,116.6,41.9,52.0,97.7,100.4,71.6,37.4,-20.230000000000015,99.0,13.184,723.3000000000001,5.55,13.274,19.53,19.8,60.0,1.98,1.9,39.33,239.7,0.0,6.05,6.04,12.09,725.7,0.0,0.0,4.0,903.0,2850.0,0.0,53.6,1.0,35.0,825.6,0.0,66.7,5.800000000000001,13.0,0.0,41.0,0.0,51.8,53.6,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,727.1,1.49,0.0,13.3203357,,0.0,,,,3.638075988359843,3.602055434019647,0.0,-0.0064125445356469,-8.216230000000001,0.0,0.0,2.999999999999999,10.0,7.000000000000001,5.999999999999998,47.0,21.999999999999996,16.0,2.999999999999999,12.5,10.999999999999998,5.0,4.000000000000002,0.0,0.0,,25.780000000000015
4.0,13.2,-11.3,727.1,0.0,0.0,0.0,23.0,44.6,48.2,46.4,48.2,46.4,-8.21623,42.8,53.6,11275.915,40593294.0,0.0,0.0,5.04930555555556,4.03944444444444,3.78697916666667,24981.6,24728.8,18413.9,17834.5,0.0,0.0,0.0,0.0,727.0,3000.0,3.78,13.0,3.78,17.0,0.0,11275.915,0.0,60.0,116.6,41.9,52.0,96.8,100.4,71.6,37.4,18.230000000000015,99.0,13.519,725.3000000000001,42.18,13.933,19.53,19.8,60.0,1.98,1.9,39.33,239.7,0.0,6.05,6.04,12.09,725.7,0.0,0.0,4.0,903.0,2850.0,0.0,53.6,1.0,35.0,825.6,0.0,66.7,5.800000000000001,13.0,0.0,41.0,0.0,51.8,53.6,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,727.1,1.49,0.0,13.3203357,0.0,0.0,10.40552299570508,53.62829451006123,10.40552299570508,3.638075988359843,3.602055434019647,0.0,-0.0064125445356469,-8.216230000000001,0.0,0.0,2.999999999999999,10.0,7.000000000000001,5.999999999999998,47.0,21.999999999999996,16.0,2.999999999999999,12.5,10.0,5.0,4.000000000000002,0.0,0.0,0.0,23.949999999999985
5.0,13.2,-11.3,727.1,0.0,0.0,0.0,23.0,44.6,48.2,46.4,48.2,46.4,-8.21623,42.8,53.6,11275.915,40593294.0,0.0,0.0,5.04930555555556,4.03944444444444,3.78697916666667,24981.6,24728.8,18413.9,17834.5,0.0,0.0,0.0,0.0,727.0,3000.0,3.78,13.0,3.78,17.0,0.0,11275.915,0.0,60.0,116.6,41.9,52.0,96.8,100.4,71.6,37.4,18.230000000000015,99.0,13.519,725.3000000000001,42.18,13.933,19.53,19.8,60.0,1.98,1.9,39.33,239.7,0.0,6.05,6.04,12.09,725.7,0.0,0.0,4.0,903.0,2850.0,0.0,53.6,1.0,35.0,825.6,0.0,66.7,5.800000000000001,13.0,0.0,41.0,0.0,51.8,53.6,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,727.1,1.49,0.0,13.8403752,0.0,0.0,10.40552299570508,53.62829451006123,10.40552299570508,3.638075988359843,3.602055434019647,0.0,-0.0064125445356469,-8.216230000000001,0.0,0.0,2.999999999999999,10.0,7.000000000000001,5.999999999999998,47.0,21.999999999999996,16.0,2.999999999999999,12.5,10.0,5.0,4.000000000000002,0.0,0.0,0.0,23.949999999999985
6.0,13.7,-10.6,727.2,0.0,0.0,0.0,23.0,44.6,48.2,46.4,48.2,46.4,-7.70832,42.8,53.6,11275.915555555555,40593296.0,0.0,0.0,5.05,4.04,3.7875,24981.6,24728.8,18413.9,17834.5,0.0,0.0,0.0,0.0,727.0,3000.0,3.78,13.0,3.78,17.0,0.0,11275.9155555556,0.0,60.0,114.8,41.9,52.0,96.8,100.4,71.6,37.4,18.230000000000015,99.0,13.519,725.3000000000001,42.18,13.933,19.54,19.83,60.0,3.09,3.1,39.36,239.8,0.0,6.04,6.03,12.07,725.1,0.0,0.0,4.0,903.0,2850.0,0.0,53.6,1.0,37.0,825.6,0.0,66.7,5.800000000000001,13.0,0.0,41.0,0.0,51.8,53.6,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,727.2,1.489,0.0,13.8403752,0.0,0.0,10.40552299570508,53.62829451006123,10.40552299570508,3.631851641113222,3.595892713973487,0.0,-0.00616272004616,-7.70832,0.0,0.0,2.999999999999999,10.0,7.000000000000001,5.999999999999998,46.0,21.999999999999996,15.0,2.999999999999999,12.5,10.0,5.0,4.000000000000002,0.0,0.0,0.0,23.949999999999985
7.0,13.7,-10.6,727.2,0.0,0.0,0.0,23.0,44.6,48.2,46.4,48.2,46.4,-7.70832,42.8,53.6,11275.915555555555,40593296.0,0.0,0.0,5.05,4.04,3.7875,24981.6,24728.8,18413.9,17834.5,0.0,0.0,0.0,0.0,727.0,3000.0,3.78,13.0,3.78,17.0,0.0,11275.9155555556,0.0,60.0,114.8,41.9,52.0,96.8,100.4,71.6,37.4,55.579999999999984,99.0,14.01,724.3000000000001,73.95,14.617,19.54,19.83,60.0,3.09,3.1,39.36,239.8,0.0,6.04,6.03,12.07,725.1,0.0,0.0,4.0,903.0,2850.0,0.0,53.6,1.0,37.0,825.6,0.0,66.7,5.800000000000001,13.0,0.0,41.0,0.0,51.8,53.6,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,727.2,1.489,0.0,13.8403752,0.0,0.0,10.40552299570508,53.62829451006123,10.40552299570508,3.631851641113222,3.595892713973487,0.0,-0.00616272004616,-7.70832,0.0,0.0,2.999999999999999,10.0,7.000000000000001,5.999999999999998,46.0,21.999999999999996,15.0,2.999999999999999,12.5,10.0,5.0,4.000000000000002,0.0,0.0,0.0,18.37000000000002
8.0,13.7,-10.6,727.2,0.0,0.0,0.0,23.0,44.6,48.2,46.4,48.2,46.4,-7.70832,42.8,53.6,11275.915555555555,40593296.0,0.0,0.0,5.05,4.04,3.7875,24981.6,24728.8,18413.9,17834.5,0.0,0.0,0.0,0.0,727.0,3000.0,3.78,13.0,3.78,17.0,0.0,11275.9155555556,0.0,60.0,114.8,41.9,52.0,96.8,100.4,71.6,37.4,55.579999999999984,99.0,14.01,724.3000000000001,73.95,14.617,19.54,19.83,60.0,3.11,3.11,39.37,239.7,0.0,6.03,6.0200000000000005,12.06,726.0,0.0,0.0,4.0,903.0,2850.0,0.0,53.6,1.0,37.0,825.6,0.0,66.7,5.800000000000001,13.0,0.0,41.0,0.0,51.8,53.6,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,727.3000000000001,1.492,0.0,14.2495706,0.0,0.0,10.40552299570508,53.62829451006123,10.40552299570508,3.631851641113222,3.595892713973487,0.0,-0.00616272004616,-7.70832,0.0,0.0,2.999999999999999,10.0,7.000000000000001,5.999999999999998,46.0,21.999999999999996,15.0,2.999999999999999,12.5,10.0,5.0,4.000000000000002,0.0,0.0,0.0,18.37000000000002
9.0,13.8,-10.9,727.3,0.0,0.0,0.0,23.0,44.6,48.2,46.4,48.2,46.4,-7.92757,42.8,53.6,11275.916388888889,40593299.0,0.0,0.0,5.05069444444444,4.04055555555556,3.78802083333333,24981.6,24728.8,18413.9,17834.5,0.0,0.0,0.0,0.0,728.0,3000.0,3.78,181.0,3.78,17.0,0.0,11275.9163888889,0.0,60.0,114.8,41.9,52.0,96.8,100.4,71.6,37.4,44.370000000000005,99.0,14.207,725.9000000000001,48.87,14.548,19.54,19.83,60.0,3.11,3.11,39.37,239.7,0.0,6.03,6.0200000000000005,12.06,726.0,0.0,0.0,4.0,903.0,2850.0,0.0,53.6,1.0,37.0,825.6,0.0,66.7,5.800000000000001,13.0,0.0,41.0,0.0,51.8,53.6,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,727.3000000000001,1.492,0.0,14.2495706,0.0,0.0,10.40552299570508,53.62829451006123,10.40552299570508,3.626543004775087,3.590636638391175,0.0,-0.0052560755823119,-7.927569999999999,0.0,0.0,2.999999999999999,10.0,7.000000000000001,5.999999999999998,46.0,21.999999999999996,15.0,2.999999999999999,12.5,10.999999999999998,5.0,4.000000000000002,0.0,0.0,0.0,4.499999999999993
