time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery management (),[BMS] Battery Pack B01 (℉),[BMS] Battery Pack B02 (℉),[BMS] Battery Pack B03 (℉),[BMS] Battery Pack B04 (℉),[BMS] Battery Pack B05 (℉),[BMS] Battery Power (kW),[BMS] Battery temperature at WCS input (℉),[BMS] Battery temperature PRA (℉),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℉),[HVAC] Evaporator Temperature (℉),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Interior temperature: driver legs vent (℉),[HVAC] Interior temperature: driver vent (℉),[HVAC] Interior temperature: front (℉),[HVAC] Outside temperature (℉),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[ICCU] OBC AC Current A (RMS) (A),[ICCU] OBC AC Current B (RMS) (A),[ICCU] OBC AC Frequency (Hz),[ICCU] OBC AC Input Current Sensor A Signal Voltage (V),[ICCU] OBC AC Input Current Sensor B Signal Voltage (V),[ICCU] OBC AC Total Current (RMS) (A),[ICCU] OBC AC Voltage A (RMS) (V),[ICCU] OBC AC Voltage B (RMS) (V),[ICCU] OBC DC Current A (RMS) (A),[ICCU] OBC DC Current B (RMS) (A),[ICCU] OBC DC Current Total (RMS) (A),[ICCU] OBC DC Voltage (V),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℉),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℉),[VCMS] DC Inlet Temperature 2 (℉),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (kW),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),Average speed (mph),DC Charger Power (kW),Distance travelled (Today) (miles),Distance travelled (total) (miles),Distance travelled (Week) (miles),Energy costs ($),Energy used (kWh),EV Instant Energy Consumption (distance/kWh) (km/kWh),EV Instant Energy Consumption (kWh) (kWh),HV EV Battery Power (kW),Hybrid/EV Charger Power (kW),Vehicle acceleration (g),[BMS] Battery Inlet Temperature (℃),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Coolant temperature 2 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Indoor Temperature (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[ICCU] Aux. Battery Temperature (℃),[ICCU] LDC Temperature (℃),[ICCU] OBC Temperature A (℃),[ICCU] OBC Temperature B (℃),[VCS] Vehicle speed (high res.) (km/h),[HVAC] Real Vehicle Speed (km/h),Distance travelled (km),12V device load (A)
0.0,,,,0.0,,,23.0,,,,,,,37.4,46.4,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.999999999999999,,,,,,,,,,,,
1.0,13.0,0.0,702.3,0.0,0.0,0.0,23.0,37.4,41.0,39.2,41.0,39.2,0.0,37.4,46.4,11307.025555555556,40705292.0,0.0,0.0,4.87708333333333,3.90166666666667,3.6578125,25041.2,24803.3,18457.5,17887.5,0.0,0.0,0.0,0.0,117.0,3000.0,3.64,1.0,3.64,37.0,0.0,11307.0255555556,0.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,5.999999999999998,4.000000000000002,2.999999999999999,,,,,,,,,,,,
2.0,13.0,0.0,702.3,0.0,0.0,0.0,23.0,37.4,41.0,39.2,41.0,39.2,0.0,37.4,46.4,11307.025555555556,40705292.0,0.0,0.0,4.87708333333333,3.90166666666667,3.6578125,25041.2,24803.3,18457.5,17887.5,0.0,0.0,0.0,0.0,117.0,3000.0,3.64,1.0,3.64,37.0,0.0,11307.0255555556,0.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,5.999999999999998,4.000000000000002,2.999999999999999,,,,,,,,,,,,
3.0,13.0,0.0,702.3,0.0,0.0,0.0,23.0,37.4,41.0,39.2,41.0,39.2,0.0,37.4,46.4,11307.025555555556,40705292.0,0.0,0.0,4.87708333333333,3.90166666666667,3.6578125,25041.2,24803.3,18457.5,17887.5,0.0,0.0,0.0,0.0,117.0,3000.0,3.64,1.0,3.64,37.0,0.0,11307.0255555556,0.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,50.0,0.0,,,0.0,,,,,,,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,5.999999999999998,4.000000000000002,2.999999999999999,,,,,,,,,,,,
4.0,13.0,0.0,702.3,0.0,0.0,0.0,23.0,37.4,41.0,39.2,41.0,39.2,0.0,37.4,50.0,11307.025555555556,40705292.0,0.0,0.0,4.87708333333333,3.90166666666667,3.6578125,25041.2,24803.3,18457.5,17887.5,0.0,0.0,0.0,0.0,117.0,3000.0,3.64,1.0,3.64,37.0,0.0,11307.0255555556,0.0,47.0,,,,,,,,,,,,,,0.0,0.0,0.0,2.49,2.49,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0,0.0,0.0,908.0,2857.0,0.0,50.0,0.0,0.0,825.6,0.0,0.0,8.9,13.0,0.0,41.0,0.0,50.0,50.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,702.3000000000001,1.492,,,,0.0,,,,,,,,0.0,0.0,,0.0,5.999999999999998,4.000000000000002,2.999999999999999,,,,,,,2.999999999999999,2.000000000000001,,,,
5.0,12.9,0.0,702.3,0.0,0.0,0.0,23.0,37.4,41.0,39.2,41.0,39.2,0.0,37.4,50.0,11307.026666666668,40705296.0,0.0,0.0,4.87708333333333,3.90166666666667,3.6578125,25041.2,24803.3,18457.5,17887.5,0.0,0.0,0.0,0.0,95.0,3000.0,3.64,1.0,3.64,37.0,0.0,11307.0266666667,0.0,47.0,115.7,38.3,47.0,100.4,102.2,71.6,32.0,,,,,,,0.0,0.0,0.0,2.49,2.49,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0,0.0,0.0,908.0,2857.0,0.0,50.0,0.0,0.0,825.6,0.0,0.0,8.9,13.0,0.0,41.0,0.0,50.0,50.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,702.3000000000001,1.492,0.0,13.0805804,,0.0,,,,10.658798902452215,10.5532662400517,,0.0,0.0,0.0,0.0,0.0,5.999999999999998,2.999999999999999,2.999999999999999,46.5,21.999999999999996,14.000000000000002,0.0,,,2.999999999999999,2.000000000000001,0.0,0.0,,
6.0,12.9,0.0,702.3,0.0,0.0,0.0,23.0,37.4,41.0,39.2,41.0,39.2,0.0,37.4,50.0,11307.026666666668,40705296.0,0.0,0.0,4.87708333333333,3.90166666666667,3.6578125,25041.2,24803.3,18457.5,17887.5,0.0,0.0,0.0,0.0,95.0,3000.0,3.64,1.0,3.64,37.0,0.0,11307.0266666667,0.0,47.0,115.7,38.3,47.0,100.4,102.2,71.6,32.0,,,,,,,0.0,0.0,0.0,2.49,2.49,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0,0.0,3.44,908.0,2857.0,0.0,50.0,0.0,0.0,825.6,0.0,57.400000000000006,8.9,13.0,0.0,41.0,0.0,50.0,50.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,702.3000000000001,1.49,0.0,13.0805804,,0.0,,,,10.658798902452215,10.5532662400517,,0.0,0.0,0.0,0.0,0.0,5.999999999999998,2.999999999999999,2.999999999999999,46.5,21.999999999999996,14.000000000000002,0.0,,,2.999999999999999,2.000000000000001,0.0,0.0,,
7.0,12.8,1.0,701.8,0.0,0.0,0.0,23.0,37.4,41.0,39.2,41.0,39.2,0.7018,37.4,50.0,11307.027222222225,40705298.0,0.0,0.0,4.87361111111111,3.89888888888889,3.65520833333333,25041.2,24803.3,18457.5,17887.5,0.0,0.0,0.0,0.0,682.0,3000.0,3.64,2.0,3.64,17.0,0.0,11307.0272222222,0.0,47.0,115.7,38.3,47.0,100.4,102.2,71.6,32.0,-13.649999999999975,99.0,13.087,699.9000000000001,0.52,13.078,0.11,0.23,0.0,2.49,2.49,0.0,0.8,0.0,0.41,0.03,0.0,89.10000000000001,0.0,0.0,3.44,908.0,2857.0,0.0,50.0,0.0,0.0,825.6,0.0,57.400000000000006,8.9,13.0,0.0,41.0,0.0,50.0,50.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,702.3000000000001,1.49,0.0,13.0805804,0.0,0.0,57.67998762228585,129.29175241589118,86.06898090153503,10.659232829884516,10.553695871172788,0.0,0.0004296311210888,0.7018,0.0,0.0,0.0,5.999999999999998,2.999999999999999,2.999999999999999,46.5,21.999999999999996,14.000000000000002,0.0,9.5,8.0,2.999999999999999,2.000000000000001,0.0,0.0,0.0,14.169999999999975
8.0,12.8,1.0,701.8,0.0,0.0,0.0,23.0,37.4,41.0,39.2,41.0,39.2,0.7018,37.4,50.0,11307.027222222225,40705298.0,0.0,0.0,4.87361111111111,3.89888888888889,3.65520833333333,25041.2,24803.3,18457.5,17887.5,0.0,0.0,0.0,0.0,682.0,3000.0,3.64,2.0,3.64,17.0,0.0,11307.0272222222,0.0,47.0,115.7,38.3,47.0,100.4,102.2,71.6,32.0,-13.649999999999975,99.0,13.087,699.9000000000001,0.52,13.078,0.11,0.23,0.0,2.49,2.49,0.0,0.8,0.0,0.41,0.03,0.0,89.10000000000001,0.0,0.0,3.44,908.0,2857.0,0.0,50.0,1.0,0.0,825.6,0.0,57.400000000000006,8.9,13.0,0.0,41.0,0.0,50.0,50.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,702.3000000000001,1.49,0.0,13.0493292,0.0,0.0,57.67998762228585,129.29175241589118,86.06898090153503,10.659232829884516,10.553695871172788,0.0,0.0004296311210888,0.7018,0.0,0.0,0.0,5.999999999999998,2.999999999999999,2.999999999999999,46.5,21.999999999999996,14.000000000000002,0.0,9.5,8.0,2.999999999999999,2.000000000000001,0.0,0.0,0.0,14.169999999999975
9.0,12.7,-3.2,703.0,0.0,0.0,0.0,23.0,37.4,41.0,39.2,41.0,39.2,-2.2496,37.4,50.0,11307.027777777776,40705300.0,0.0,0.0,4.88194444444444,3.90555555555556,3.66145833333333,25041.2,24803.3,18457.5,17887.5,0.0,0.0,0.0,0.0,703.0,3000.0,3.66,4.0,3.66,17.0,0.0,11307.0277777778,0.0,47.0,115.7,38.3,47.0,100.4,102.2,71.6,32.0,-13.649999999999975,99.0,13.087,699.9000000000001,0.52,13.078,2.65,2.46,60.0,2.49,2.45,5.1000000000000005,246.2,0.0,-0.01,0.0,-0.01,700.4000000000001,0.0,0.0,3.4,909.0,2857.0,0.0,50.0,1.0,14.0,825.6,0.0,56.7,5.800000000000001,13.0,0.0,41.0,0.0,50.0,50.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,702.3000000000001,1.491,0.0,13.0493292,0.0,0.0,57.67998762228585,129.29175241589118,86.06898090153503,10.657668690849372,10.552147218662745,0.0,-0.0015486525100444,-2.2496,0.0,0.0,0.0,5.999999999999998,2.999999999999999,2.999999999999999,46.5,21.999999999999996,14.000000000000002,0.0,9.5,8.0,2.999999999999999,2.000000000000001,0.0,0.0,0.0,14.169999999999975
