time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery management (),[BMS] Battery Pack B01 (℉),[BMS] Battery Pack B02 (℉),[BMS] Battery Pack B03 (℉),[BMS] Battery Pack B04 (℉),[BMS] Battery Pack B05 (℉),[BMS] Battery Power (kW),[BMS] Battery temperature at WCS input (℉),[BMS] Battery temperature PRA (℉),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℉),[HVAC] Evaporator Temperature (℉),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Interior temperature: driver legs vent (℉),[HVAC] Interior temperature: driver vent (℉),[HVAC] Interior temperature: front (℉),[HVAC] Outside temperature (℉),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[ICCU] OBC AC Current A (RMS) (A),[ICCU] OBC AC Current B (RMS) (A),[ICCU] OBC AC Frequency (Hz),[ICCU] OBC AC Input Current Sensor A Signal Voltage (V),[ICCU] OBC AC Input Current Sensor B Signal Voltage (V),[ICCU] OBC AC Total Current (RMS) (A),[ICCU] OBC AC Voltage A (RMS) (V),[ICCU] OBC AC Voltage B (RMS) (V),[ICCU] OBC DC Current A (RMS) (A),[ICCU] OBC DC Current B (RMS) (A),[ICCU] OBC DC Current Total (RMS) (A),[ICCU] OBC DC Voltage (V),[PS] Absolute wheels turn angle (°),[PS] MDPS motor current (A),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℉),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℉),[VCMS] DC Inlet Temperature 2 (℉),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (kW),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),Average speed (mph),DC Charger Power (kW),Distance travelled (Today) (miles),Distance travelled (Week) (miles),Energy costs ($),Energy used (kWh),EV Instant Energy Consumption (distance/kWh) (km/kWh),EV Instant Energy Consumption (kWh) (kWh),EV Instant Energy Consumption (kWh/distance) (mi/kWh),HV EV Battery Power (kW),Hybrid/EV Charger Power (kW),Vehicle acceleration (g),[BMS] Battery Inlet Temperature (℃),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Coolant temperature 2 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Indoor Temperature (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[ICCU] Aux. Battery Temperature (℃),[ICCU] LDC Temperature (℃),[ICCU] OBC Temperature A (℃),[ICCU] OBC Temperature B (℃),[VCS] Vehicle speed (high res.) (km/h),[HVAC] Real Vehicle Speed (km/h),Distance travelled (km),Distance travelled (total) (km),12V device load (A)
0.0,,,,0.0,,,23.0,,,,,,,37.4,53.6,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.999999999999999,,,,,,,,,,,,,
1.0,13.5,14.5,727.8,0.0,0.0,0.0,23.0,41.0,50.0,42.8,50.0,42.8,10.5531,37.4,53.6,11218.6425,40387113.0,0.0,0.0,5.05416666666667,4.04333333333333,3.790625,24839.3,24586.3,18309.7,17733.2,0.0,6102.0,0.0,0.0,728.0,2342.0,3.78,16.0,3.78,101.0,0.0,11218.6425,0.0,63.5,40.1,30.2,61.0,35.6,50.0,54.5,27.5,1.7699999999999818,100.0,13.936,725.3000000000001,47.46,14.234,,,,,,,,,,,,,7.300000000000001,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5531,,,-2.000000000000001,10.999999999999998,5.0,2.999999999999999,4.500000000000001,12.5,12.0,-2.5,13.499999999999998,18.000000000000004,,,,76.98354111986002,,,45.69000000000002
2.0,13.5,14.5,727.8,0.0,0.0,0.0,23.0,41.0,50.0,42.8,50.0,42.8,10.5531,37.4,53.6,11218.6425,40387113.0,0.0,0.0,5.05416666666667,4.04333333333333,3.790625,24839.3,24586.3,18309.7,17733.2,0.0,6102.0,0.0,0.0,728.0,2342.0,3.78,16.0,3.78,101.0,0.0,11218.6425,0.0,63.5,40.1,30.2,61.0,35.6,50.0,54.5,27.5,1.7699999999999818,100.0,13.936,725.3000000000001,47.46,14.234,,,,,,,,,,,,,7.300000000000001,3.0,0.0,0.0,,,,,42.8,1.0,,,0.0,,,,,,,41.0,42.8,,,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,0.0,13.910690400000002,,0.0,,,,,,,,10.5531,0.0,,-2.000000000000001,10.999999999999998,5.0,2.999999999999999,4.500000000000001,12.5,12.0,-2.5,13.499999999999998,18.000000000000004,,,77.71775914596257,76.98354111986002,,,45.69000000000002
3.0,13.5,4.6,730.1,0.0,0.0,0.0,23.0,41.0,50.0,42.8,50.0,42.8,3.35846,37.4,53.6,11218.643333333332,40387116.0,0.0,0.0,5.07013888888889,4.05611111111111,3.80260416666667,24839.3,24586.3,18309.7,17733.2,0.0,6105.0,0.0,0.0,730.0,2342.0,3.8,13.0,3.78,101.0,0.0,11218.6433333333,0.0,63.5,40.1,30.2,61.0,35.6,50.0,54.5,27.5,1.7699999999999818,100.0,13.936,725.3000000000001,47.46,14.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.1,7.300000000000001,3.0,0.0,0.0,0.0,895.0,2839.0,0.0,42.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,41.0,42.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5,729.6,4.441,0.0,13.910690400000002,47.845581802274715,0.0,0.0334869362920544,0.0334869362920544,0.0024160493458789,0.0023921280652266,,0.0023921280652266,,3.35846,0.0,,-2.000000000000001,10.999999999999998,5.0,2.999999999999999,4.500000000000001,12.5,12.0,-2.5,13.499999999999998,18.000000000000004,5.999999999999998,5.0,77.71775914596257,76.98354111986002,0.053880711999975656,0.3235208320905908,45.69000000000002
4.0,13.5,4.6,730.1,0.0,0.0,0.0,23.0,41.0,50.0,42.8,50.0,42.8,3.35846,37.4,53.6,11218.643333333332,40387116.0,0.0,0.0,5.07013888888889,4.05611111111111,3.80260416666667,24839.3,24586.3,18309.7,17733.2,0.0,6105.0,0.0,0.0,730.0,2342.0,3.8,13.0,3.78,101.0,0.0,11218.6433333333,0.0,63.5,40.1,30.2,61.0,35.6,50.0,54.5,27.5,1.6999999999999886,100.0,13.933,726.8000000000001,46.99,14.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.1,0.8,3.0,0.0,0.0,0.0,895.0,2839.0,0.0,42.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,41.0,42.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5,729.6,4.441,0.0,13.910690400000002,47.845581802274715,0.0,0.0334869362920544,0.0334869362920544,0.0024160493458789,0.0023921280652266,,0.0023921280652266,,3.35846,0.0,,-2.000000000000001,10.999999999999998,5.0,2.999999999999999,4.500000000000001,12.5,12.0,-2.5,13.499999999999998,19.0,5.999999999999998,5.0,77.71775914596257,76.98354111986002,0.053880711999975656,0.3235208320905908,45.29000000000001
5.0,13.5,7.2,729.8,0.0,0.0,0.0,23.0,41.0,50.0,42.8,50.0,42.8,5.25456,37.4,53.6,11218.64388888889,40387118.0,0.0,0.0,5.06805555555556,4.05444444444444,3.80104166666667,24839.3,24586.3,18309.7,17733.2,0.0,6079.0,0.0,0.0,730.0,2342.0,3.8,16.0,3.78,101.0,0.0,11218.6438888889,0.0,63.5,40.1,30.2,61.0,35.6,50.0,54.5,27.5,1.6999999999999886,100.0,13.933,726.8000000000001,46.99,14.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.6,0.8,3.0,0.0,0.0,0.0,895.0,2839.0,0.0,42.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,41.0,42.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5,730.2,4.441,0.0,13.910690400000002,47.845581802274715,0.0,0.0334869362920544,0.0334869362920544,0.0056360274626925,0.0055802252105866,14.6539386742182,0.00318809714536,9.105532527937635,5.25456,0.0,,-2.000000000000001,10.999999999999998,5.0,2.999999999999999,4.500000000000001,12.5,12.0,-2.5,13.499999999999998,19.0,5.999999999999998,5.0,77.71775914596257,76.98354111986002,0.053880711999975656,0.3235208320905908,45.29000000000001
6.0,13.5,7.2,729.8,0.0,0.0,0.0,23.0,41.0,50.0,42.8,50.0,42.8,5.25456,37.4,53.6,11218.64388888889,40387118.0,0.0,0.0,5.06805555555556,4.05444444444444,3.80104166666667,24839.3,24586.3,18309.7,17733.2,0.0,6079.0,0.0,0.0,730.0,2342.0,3.8,16.0,3.78,101.0,0.0,11218.6438888889,0.0,63.5,40.1,30.2,61.0,35.6,50.0,54.5,27.5,1.740000000000009,100.0,13.933,727.4000000000001,51.67,14.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.6,1.4,3.0,0.0,0.0,0.0,895.0,2839.0,0.0,42.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,41.0,42.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5,730.2,4.441,0.0,13.919968100000002,47.845581802274715,0.0,0.0334869362920544,0.0334869362920544,0.0056360274626925,0.0055802252105866,14.6539386742182,0.00318809714536,9.105532527937635,5.25456,0.0,,-2.000000000000001,10.999999999999998,5.0,2.999999999999999,4.500000000000001,12.5,12.0,-2.5,13.499999999999998,19.0,5.999999999999998,5.0,77.21786602180764,76.98354111986002,0.053880711999975656,0.3235208320905908,49.92999999999999
7.0,13.5,7.2,729.8,0.0,0.0,0.0,23.0,41.0,50.0,42.8,50.0,42.8,5.25456,37.4,53.6,11218.64388888889,40387118.0,0.0,0.0,5.06805555555556,4.05444444444444,3.80104166666667,24839.3,24586.3,18309.7,17733.2,0.0,6079.0,0.0,0.0,730.0,2342.0,3.8,16.0,3.78,101.0,0.0,11218.6438888889,0.0,63.5,40.1,30.2,61.0,35.6,50.0,54.5,27.5,1.740000000000009,100.0,13.933,727.4000000000001,51.67,14.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.6,1.4,3.0,0.0,0.0,0.0,895.0,2839.0,0.0,42.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,41.0,42.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5,729.9000000000001,4.44,0.0,13.919968100000002,47.845581802274715,0.0,0.0334869362920544,0.0334869362920544,0.0056360274626925,0.0055802252105866,14.6539386742182,0.00318809714536,9.105532527937635,5.25456,0.0,,-2.000000000000001,10.999999999999998,5.0,2.999999999999999,4.500000000000001,12.5,12.0,-2.5,13.499999999999998,19.0,5.999999999999998,5.0,77.21786602180764,76.98354111986002,0.053880711999975656,0.3235208320905908,49.92999999999999
8.0,13.5,7.9,729.9,0.0,0.0,0.0,23.0,41.0,50.0,42.8,50.0,42.8,5.76621,37.4,53.6,11218.64472222222,40387121.0,0.0,0.0,5.06875,4.055,3.8015625,24839.3,24586.3,18309.7,17733.2,0.0,6077.0,0.0,0.0,730.0,2346.0,3.8,16.0,3.78,101.0,0.0,11218.6447222222,0.0,63.5,40.1,30.2,61.0,35.6,50.0,54.5,27.5,3.4599999999999795,100.0,13.952,726.8000000000001,46.12,14.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.9000000000001,1.4,3.0,0.0,0.0,0.0,895.0,2839.0,0.0,42.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,41.0,42.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5,729.9000000000001,4.44,0.0,13.919968100000002,47.845581802274715,0.0,0.0334869362920544,0.0334869362920544,0.0095110491531582,0.0094168803496616,13.353658642331792,0.003836655139075,8.297576224244349,5.76621,0.0,,-2.000000000000001,10.999999999999998,5.0,2.999999999999999,4.500000000000001,12.5,12.0,-2.5,13.499999999999998,19.0,5.999999999999998,5.0,77.21786602180764,76.98354111986002,0.053880711999975656,0.3235208320905908,42.66000000000002
9.0,13.5,7.9,729.9,0.0,0.0,0.0,23.0,41.0,50.0,42.8,50.0,42.8,5.76621,37.4,53.6,11218.64472222222,40387121.0,0.0,0.0,5.06875,4.055,3.8015625,24839.3,24586.3,18309.7,17733.2,0.0,6077.0,0.0,0.0,730.0,2346.0,3.8,16.0,3.78,101.0,0.0,11218.6447222222,0.0,63.5,40.1,,,,,,,3.4599999999999795,100.0,13.952,726.8000000000001,46.12,14.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.9000000000001,4.3,3.0,0.0,0.0,0.0,895.0,2839.0,0.0,42.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,41.0,42.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5,729.9000000000001,4.44,0.0,13.9404767,,0.0,,,0.0095110491531582,0.0094168803496616,13.353658642331792,0.003836655139075,8.297576224244349,5.76621,0.0,,-2.000000000000001,10.999999999999998,5.0,2.999999999999999,4.500000000000001,,12.0,,13.499999999999998,19.0,5.999999999999998,5.0,77.26473100219717,,,,42.66000000000002
