time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery management (),[BMS] Battery Pack B01 (℉),[BMS] Battery Pack B02 (℉),[BMS] Battery Pack B03 (℉),[BMS] Battery Pack B04 (℉),[BMS] Battery Pack B05 (℉),[BMS] Battery Power (kW),[BMS] Battery temperature at WCS input (℉),[BMS] Battery temperature PRA (℉),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℉),[HVAC] Evaporator Temperature (℉),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Interior temperature: driver legs vent (℉),[HVAC] Interior temperature: driver vent (℉),[HVAC] Interior temperature: front (℉),[HVAC] Outside temperature (℉),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[ICCU] OBC AC Current A (RMS) (A),[ICCU] OBC AC Current B (RMS) (A),[ICCU] OBC AC Frequency (Hz),[ICCU] OBC AC Input Current Sensor A Signal Voltage (V),[ICCU] OBC AC Input Current Sensor B Signal Voltage (V),[ICCU] OBC AC Total Current (RMS) (A),[ICCU] OBC AC Voltage A (RMS) (V),[ICCU] OBC AC Voltage B (RMS) (V),[ICCU] OBC DC Current A (RMS) (A),[ICCU] OBC DC Current B (RMS) (A),[ICCU] OBC DC Current Total (RMS) (A),[ICCU] OBC DC Voltage (V),[PS] Absolute wheels turn angle (°),[PS] MDPS motor current (A),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℉),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℉),[VCMS] DC Inlet Temperature 2 (℉),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (kW),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),Average speed (mph),DC Charger Power (kW),Distance travelled (Today) (miles),Distance travelled (Week) (miles),Energy costs ($),Energy used (kWh),EV Instant Energy Consumption (distance/kWh) (km/kWh),EV Instant Energy Consumption (kWh) (kWh),EV Instant Energy Consumption (kWh/distance) (mi/kWh),HV EV Battery Power (kW),Hybrid/EV Charger Power (kW),Vehicle acceleration (g),[BMS] Battery Inlet Temperature (℃),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Coolant temperature 2 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Indoor Temperature (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[ICCU] Aux. Battery Temperature (℃),[ICCU] LDC Temperature (℃),[ICCU] OBC Temperature A (℃),[ICCU] OBC Temperature B (℃),[VCS] Vehicle speed (high res.) (km/h),[HVAC] Real Vehicle Speed (km/h),Distance travelled (km),Distance travelled (total) (km),12V device load (A)
0.0,,,,0.0,,,23.0,,,,,,,35.6,35.6,,,,,,,,,,,,1460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.000000000000001,,,,,,,,,,,,,
1.0,13.7,1.6,733.2,0.0,0.0,0.0,23.0,37.4,37.4,37.4,39.2,39.2,1.17312,35.6,35.6,11316.67861111111,40740043.0,0.0,0.0,5.09166666666667,4.07333333333333,3.81875,25068.3,24813.7,18477.3,17895.1,1460.0,0.0,0.0,0.0,734.0,3000.0,3.82,12.0,3.8,17.0,0.0,11316.6786111111,0.0,61.5,51.8,47.3,39.0,50.900000000000006,56.3,52.7,37.4,30.04000000000002,100.0,14.099,730.3000000000001,56.26,14.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1731200000000002,,,2.999999999999999,4.000000000000002,2.999999999999999,2.000000000000001,10.999999999999998,11.500000000000002,23.000000000000004,2.999999999999999,7.000000000000001,8.0,,,,0.0,,,26.219999999999978
2.0,13.7,1.6,733.2,0.0,0.0,0.0,23.0,37.4,37.4,37.4,39.2,39.2,1.17312,35.6,35.6,11316.67861111111,40740043.0,0.0,0.0,5.09166666666667,4.07333333333333,3.81875,25068.3,24813.7,18477.3,17895.1,1460.0,0.0,0.0,0.0,734.0,3000.0,3.82,12.0,3.8,17.0,0.0,11316.6786111111,0.0,61.5,51.8,47.3,39.0,50.900000000000006,56.3,52.7,37.4,30.04000000000002,100.0,14.099,730.3000000000001,56.26,14.441,,,,,,,,,,,,,-4.0,3.0,0.0,0.0,,,,,46.4,1.0,,,0.0,,,,,,,42.8,44.6,,,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,0.0,14.1025923,,0.0,,,,,,,,1.1731200000000002,0.0,,2.999999999999999,4.000000000000002,2.999999999999999,2.000000000000001,10.999999999999998,11.500000000000002,23.000000000000004,2.999999999999999,7.000000000000001,8.0,,,0.0,0.0,,,26.219999999999978
3.0,13.7,1.7,733.2,0.0,0.0,0.0,23.0,37.4,37.4,37.4,39.2,39.2,1.24644,35.6,35.6,11316.679444444444,40740046.0,0.0,0.0,5.09166666666667,4.07333333333333,3.81875,25068.3,24813.7,18477.3,17895.1,1480.0,0.0,0.0,0.0,735.0,3000.0,3.82,13.0,3.8,17.0,0.0,11316.6794444444,0.0,61.5,61.7,47.3,39.0,50.900000000000006,56.3,52.7,37.4,30.04000000000002,100.0,14.099,730.3000000000001,56.26,14.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731.6,-4.0,3.0,0.0,0.0,0.0,910.0,2860.0,0.0,46.4,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,42.8,44.6,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,733.2,4.439,0.0,14.1025923,,0.0,,,0.0009043671968283,0.0008954130661666,,0.0008954130661666,,1.24644,0.0,,2.999999999999999,4.000000000000002,2.999999999999999,2.000000000000001,16.5,11.500000000000002,25.0,2.999999999999999,7.000000000000001,8.0,5.0,5.0,0.0,0.0,,,26.219999999999978
4.0,13.7,1.7,733.2,0.0,0.0,0.0,23.0,37.4,37.4,37.4,39.2,39.2,1.24644,35.6,35.6,11316.679444444444,40740046.0,0.0,0.0,5.09166666666667,4.07333333333333,3.81875,25068.3,24813.7,18477.3,17895.1,1480.0,0.0,0.0,0.0,735.0,3000.0,3.82,13.0,3.8,17.0,0.0,11316.6794444444,0.0,61.5,61.7,47.3,39.0,50.900000000000006,56.3,52.7,37.4,28.28000000000003,100.0,14.107,731.8000000000001,52.62,14.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731.6,-4.1000000000000005,3.0,0.0,0.0,0.0,910.0,2860.0,0.0,46.4,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,42.8,44.6,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,733.2,4.439,0.0,14.1206594,0.0,0.0,22.559245257695057,108.6282261592301,0.0009043671968283,0.0008954130661666,,0.0008954130661666,,1.24644,0.0,,2.999999999999999,4.000000000000002,2.999999999999999,2.000000000000001,16.5,11.500000000000002,25.0,2.999999999999999,7.000000000000001,9.000000000000002,5.0,5.0,0.0,0.0,0.0,244.32825525680028,24.339999999999968
5.0,13.7,1.7,733.2,0.0,0.0,0.0,23.0,37.4,37.4,37.4,39.2,39.2,1.24644,35.6,35.6,11316.679444444444,40740046.0,0.0,0.0,5.09166666666667,4.07333333333333,3.81875,25068.3,24813.7,18477.3,17895.1,1480.0,0.0,0.0,0.0,735.0,3000.0,3.82,13.0,3.8,17.0,0.0,11316.6794444444,0.0,61.5,61.7,47.3,39.0,50.900000000000006,56.3,52.7,37.4,28.28000000000003,100.0,14.107,731.8000000000001,52.62,14.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731.1,-4.1000000000000005,3.0,0.0,0.0,0.0,910.0,2860.0,0.0,46.4,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,42.8,44.6,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,733.2,4.442,0.0,14.1206594,0.0,0.0,22.559245257695057,108.6282261592301,0.0009043671968283,0.0008954130661666,,0.0008954130661666,,1.24644,0.0,,2.999999999999999,4.000000000000002,2.999999999999999,2.000000000000001,16.5,11.500000000000002,25.0,2.999999999999999,7.000000000000001,9.000000000000002,5.0,5.0,0.0,0.0,0.0,244.32825525680028,24.339999999999968
6.0,13.7,1.7,733.2,0.0,0.0,0.0,23.0,37.4,37.4,37.4,39.2,39.2,1.24644,35.6,35.6,11316.68,40740048.0,0.0,0.0,5.09166666666667,4.07333333333333,3.81875,25068.3,24813.7,18477.3,17895.1,1480.0,0.0,0.0,0.0,735.0,2500.0,3.8,2.0,3.8,17.0,0.0,11316.68,0.0,61.5,66.2,47.3,39.0,50.900000000000006,56.3,52.7,37.4,27.100000000000023,100.0,14.108,730.3000000000001,54.44,14.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731.1,-3.9,3.0,0.0,0.0,0.0,910.0,2860.0,0.0,46.4,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,42.8,44.6,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,733.2,4.442,0.0,14.1206594,0.0,0.0,22.559245257695057,108.6282261592301,0.0016875074950673,0.0016707995000666,0.0,0.0007753864339,,1.24644,0.0,,2.999999999999999,4.000000000000002,2.999999999999999,2.000000000000001,19.0,11.500000000000002,26.000000000000007,2.999999999999999,7.000000000000001,9.000000000000002,5.0,5.0,0.0,0.0,0.0,244.32825525680028,27.339999999999975
7.0,13.7,3.5,731.6,0.0,0.0,0.0,23.0,37.4,37.4,37.4,39.2,39.2,2.5606,35.6,35.6,11316.680555555557,40740050.0,0.0,0.0,5.08055555555556,4.06444444444444,3.81041666666667,25068.3,24813.7,18477.3,17895.1,1480.0,0.0,0.0,0.0,735.0,2500.0,3.82,16.0,3.8,93.0,0.0,11316.6805555556,0.0,61.5,66.2,47.3,39.0,50.900000000000006,56.3,52.7,37.4,27.100000000000023,100.0,14.108,730.3000000000001,54.44,14.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.8000000000001,-3.9,3.0,0.0,0.0,0.0,910.0,2860.0,0.0,46.4,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,42.8,44.6,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,733.2,4.439,0.0,14.1206594,0.0,0.0,22.559245257695057,108.6282261592301,0.0030340948874456,0.0030040543440055,0.0,0.0013332548439388,,2.5606,0.0,,2.999999999999999,4.000000000000002,2.999999999999999,2.000000000000001,19.0,11.500000000000002,26.000000000000007,2.999999999999999,7.000000000000001,9.000000000000002,5.0,5.0,0.0,0.0,0.0,244.32825525680028,27.339999999999975
8.0,13.7,3.5,731.6,0.0,0.0,0.0,23.0,37.4,37.4,37.4,39.2,39.2,2.5606,35.6,35.6,11316.680555555557,40740050.0,0.0,0.0,5.08055555555556,4.06444444444444,3.81041666666667,25068.3,24813.7,18477.3,17895.1,1480.0,0.0,0.0,0.0,735.0,2500.0,3.82,16.0,3.8,93.0,0.0,11316.6805555556,0.0,61.5,69.80000000000001,47.3,39.0,51.8,56.3,52.7,37.4,26.389999999999983,100.0,14.107,730.5,52.0,14.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.8000000000001,-4.2,3.0,0.0,0.0,0.0,910.0,2860.0,0.0,46.4,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,42.8,44.6,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,733.2,4.439,0.0,14.1206594,0.0,0.0,22.559245257695057,108.6282261592301,0.0030340948874456,0.0030040543440055,0.0,0.0013332548439388,,2.5606,0.0,,2.999999999999999,4.000000000000002,2.999999999999999,2.000000000000001,21.000000000000007,11.500000000000002,28.000000000000004,2.999999999999999,7.000000000000001,9.000000000000002,5.0,5.0,0.0,0.0,0.0,244.32825525680028,25.610000000000017
9.0,13.7,1.7,733.1,0.0,0.0,0.0,23.0,37.4,37.4,37.4,39.2,39.2,1.24627,35.6,35.6,11316.681111111113,40740052.0,0.0,0.0,5.09097222222222,4.07277777777778,3.81822916666667,25068.3,24813.7,18477.3,17895.1,1480.0,0.0,0.0,0.0,735.0,2500.0,3.82,181.0,3.8,17.0,0.0,11316.6811111111,0.0,61.5,69.80000000000001,47.3,39.0,51.8,56.3,52.7,37.4,26.389999999999983,100.0,14.107,730.5,52.0,14.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.6,-4.2,3.0,0.0,0.0,0.0,910.0,2860.0,0.0,46.4,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,42.8,44.6,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,733.1,4.44,0.0,14.1206594,0.0,0.0,22.559245257695057,108.6282261592301,0.0037152474237874,0.0036784627958291,0.0,0.0006744084518236,,1.24627,0.0,,2.999999999999999,4.000000000000002,2.999999999999999,2.000000000000001,21.000000000000007,11.500000000000002,28.000000000000004,2.999999999999999,7.000000000000001,9.000000000000002,5.0,5.0,0.0,0.0,0.0,244.32825525680028,25.610000000000017
